epic_number,Campaign,Class,Probability
201493012,1,OTHPER,0.992187
201499998,1,OTHPER,0.9963540000000001
201501958,1,OTHPER,0.9906969999999999
201505569,1, Noise,0.98339
201507195,1, Noise,0.9821790000000001
201511174,1,OTHPER,0.9901909999999999
201517854,1,    EB,0.911546
201518531,1, Noise,0.9814729999999999
201518712,1,OTHPER,0.9928389999999999
201531578,1,    EB,0.936976
201534061,1, Noise,0.984075
201536956,1,  RRab,0.619929
201537170,1, Noise,0.9880559999999999
201540013,1,  RRab,0.740287
201543049,1, Noise,0.988408
201545555,1, Noise,0.987031
201546971,1, Noise,0.985052
201549223,1, Noise,0.9828049999999999
201552030,1,    EB,0.973491
201552857,1, Noise,0.982516
201552908,1, Noise,0.9841629999999999
201561005,1,OTHPER,0.992238
201562530,1,    EA,0.7187640000000001
201565020,1,OTHPER,0.990826
201567780,1, Noise,0.981323
201567820,1, Noise,0.981138
201571178,1, Noise,0.9881989999999999
201571821,1, Noise,0.9838379999999999
201572722,1, Noise,0.9856870000000001
201576812,1,    EA,0.7054630000000001
201579626,1, Noise,0.9850059999999999
201582850,1, Noise,0.981241
201583400,1, Noise,0.9815440000000001
201587445,1,OTHPER,0.993223
201589262,1, Noise,0.9835020000000001
201590024,1, Noise,0.991359
201592061,1,    EB,0.9956659999999999
201592476,1, Noise,0.9847469999999999
201592815,1, Noise,0.9818
201593658,1, Noise,0.984893
201600674,1, Noise,0.9834209999999999
201602854,1, DSCUT,0.9943559999999999
201603595,1,OTHPER,0.9909690000000001
201607088,1,    EB,0.982095
201608319,1,OTHPER,0.993466
201610136,1,OTHPER,0.991038
201610811,1,    EB,0.900755
201615127,1,OTHPER,0.9914200000000001
201615601,1,  GDOR,0.974643
201617930,1, Noise,0.983828
201621305,1, Noise,0.981382
201626606,1, Noise,0.989296
201630905,1, Noise,0.982933
201634054,1, Noise,0.981037
201634844,1, Noise,0.9869870000000001
201642107,1,OTHPER,0.9946649999999999
201644790,1, Noise,0.984605
201646800,1, Noise,0.9830209999999999
201648133,1,    EA,0.972627
201656525,1,OTHPER,0.9953860000000001
201664689,1,OTHPER,0.9920389999999999
201670373,1,OTHPER,0.9943069999999999
201671506,1,  GDOR,0.8280489999999999
201673708,1,OTHPER,0.993173
201674807,1, Noise,0.984044
201674814,1, Noise,0.983159
201676716,1, Noise,0.9865280000000001
201680569,1,    EB,0.967583
201681411,1,    EB,0.986243
201683910,1, Noise,0.9855870000000001
201686483,1,OTHPER,0.994418
201689490,1,OTHPER,0.991966
201691034,1, Noise,0.9821469999999999
201695625,1,    EB,0.91199
201698669,1,    EB,0.993093
201700240,1,OTHPER,0.99379
201700247,1,OTHPER,0.996481
201700978,1,OTHPER,0.994007
201704541,1,    EB,0.989999
201707257,1,OTHPER,0.997816
201709153,1, Noise,0.982957
201711578,1,OTHPER,0.992326
201715262,1,    EB,0.900547
201715393,1,  GDOR,0.749131
201716883,1,  RRab,0.944782
201720674,1,OTHPER,0.9921690000000001
201720987,1, Noise,0.9822129999999999
201721222,1, Noise,0.984682
201723461,1,    EA,0.7306159999999999
201725399,1,    EB,0.9904290000000001
201725951,1, Noise,0.989083
201731218,1,OTHPER,0.9926649999999999
201735172,1, Noise,0.981196
201738572,1,OTHPER,0.994142
201738755,1,OTHPER,0.990714
201739972,1, DSCUT,0.9582120000000001
201748885,1, Noise,0.984361
201749821,1,    EB,0.998527
201751439,1, Noise,0.9861280000000001
201751532,1, Noise,0.984858
201753654,1, Noise,0.983714
201754974,1,OTHPER,0.9921209999999999
201762815,1,    EB,0.9959389999999999
201766747,1, Noise,0.983093
201768602,1, Noise,0.982866
201769424,1, Noise,0.981406
201774941,1, Noise,0.981886
201775723,1, Noise,0.9810040000000001
201780233,1,  RRab,0.716609
201786731,1, Noise,0.9869290000000001
201789080,1,OTHPER,0.9907239999999999
201790080,1,    EB,0.997081
201802433,1, Noise,0.981658
201803365,1,    EB,0.967434
201809540,1,OTHPER,0.995873
201810513,1,    EA,0.935575
201814774,1,  GDOR,0.745607
201824843,1, Noise,0.98113
201826968,1,    EB,0.997466
201828402,1, Noise,0.9819120000000001
201832116,1,  GDOR,0.9130950000000001
201833284,1, Noise,0.981232
201839237,1, Noise,0.9843280000000001
201840254,1,OTHPER,0.996243
201850413,1, DSCUT,0.9814649999999999
201855304,1,OTHPER,0.9922790000000001
201870289,1,OTHPER,0.996384
201871270,1, Noise,0.98695
201871951,1,  GDOR,0.848618
201873161,1, Noise,0.985196
201882460,1, Noise,0.9827
201884852,1, Noise,0.9835020000000001
201890494,1,    EA,0.923384
201893576,1,    EA,0.714268
201896663,1,OTHPER,0.9908530000000001
201902310,1,OTHPER,0.9900959999999999
201903779,1,  GDOR,0.7372890000000001
201904174,1,    EB,0.9135770000000001
201907820,1, Noise,0.985037
201908974,1, Noise,0.98456
201910513,1,OTHPER,0.990492
201910662,1, Noise,0.982743
201914571,1, Noise,0.9887469999999999
201921381,1,    EB,0.9836530000000001
201926949,1,OTHPER,0.997439
201927024,1,    EB,0.923997
201927431,1, Noise,0.9834799999999999
201928270,1,    EB,0.9035299999999999
201933700,1, Noise,0.981517
201933752,1, Noise,0.986116
201937413,1, Noise,0.9893569999999999
201940505,1,    EB,0.9886209999999999
201940767,1,    EB,0.9985290000000001
202518676,2, DSCUT,0.9821489999999999
202554180,2, DSCUT,0.9909629999999999
202619356,2,OTHPER,0.990511
202643279,2,    EB,0.9116190000000001
202652559,2,  GDOR,0.697742
202656096,2, Noise,0.9822639999999999
202665304,2,OTHPER,0.990576
202674012,2,    EA,0.9132309999999999
202679718,2,    EB,0.9384
202683805,2,OTHPER,0.996007
202688980,2,    EA,0.7872520000000001
202773276,2, DSCUT,0.9603209999999999
202774129,2,    EB,0.938969
202843085,2,    EA,0.9464799999999999
202844711,2,    EA,0.9872489999999999
202851823,2,    EB,0.983295
202863081,2, DSCUT,0.954686
202872758,2,OTHPER,0.993287
202911789,2, DSCUT,0.969483
202929357,2, DSCUT,0.9904440000000001
202963882,2,    EB,0.931543
202968864,2,    EB,0.9510790000000001
202984824,2,OTHPER,0.992792
203011840,2,    EA,0.792912
203026255,2, DSCUT,0.931984
203031097,2,  GDOR,0.9259129999999999
203075848,2,  GDOR,0.688135
203127694,2,  GDOR,0.802671
203162555,2, DSCUT,0.948943
203185007,2,OTHPER,0.9926309999999999
203294831,2,    EA,0.9387120000000001
203361171,2,    EA,0.9998809999999999
203372915,2,  RRab,0.7796850000000001
203396402,2,    EB,0.901315
203463506,2,    EB,0.997001
203466879,2,    EA,0.7439600000000001
203485624,2,    EB,0.9892620000000001
203486145,2,  GDOR,0.8510979999999999
203531786,2, DSCUT,0.891907
203534141,2, Noise,0.9823270000000001
203538499,2,OTHPER,0.991944
203542570,2,OTHPER,0.992749
203579600,2,  GDOR,0.904415
203593664,2,  GDOR,0.872841
203594870,2, Noise,0.9812129999999999
203596245,2,  RRab,0.978497
203596258,2,  RRab,0.974756
203606075,2,OTHPER,0.9917799999999999
203610780,2,    EA,0.9348549999999999
203630276,2,  RRab,0.730222
203636784,2,    EA,0.916226
203637372,2,OTHPER,0.9972610000000001
203654939,2,OTHPER,0.990181
203656002,2,    EA,0.792024
203656237,2, DSCUT,0.981323
203692906,2,  RRab,0.708593
203707855,2,  GDOR,0.85765
203710621,2, DSCUT,0.924444
203724283,2,    EA,0.708079
203728604,2,    EA,0.888892
203735292,2, Noise,0.982085
203735843,2, Noise,0.9837809999999999
203749720,2,    EB,0.9875079999999999
203764177,2,    EA,0.8737959999999999
203783195,2,    EA,0.9374459999999999
203819998,2,OTHPER,0.992792
203824391,2,OTHPER,0.9906510000000001
203829123,2,  GDOR,0.783407
203868608,2,    EA,0.833369
203878683,2,    EA,0.992566
203902287,2,OTHPER,0.990878
203907133,2, DSCUT,0.893193
203908645,2,    EA,0.822617
203911955,2,    EA,0.956625
203929178,2,    EA,0.970936
203942067,2,    EA,0.9970950000000001
203964886,2, Noise,0.98254
203976840,2, Noise,0.986509
204018323,2, Noise,0.984333
204019947,2, Noise,0.981093
204034714,2, Noise,0.9839100000000001
204059927,2,    EA,0.8324870000000001
204073447,2,    EA,0.9926440000000001
204090458,2, DSCUT,0.95744
204091956,2,  RRab,0.601612
204105782,2,    EA,0.703855
204115101,2,  RRab,0.811253
204138967,2,    EB,0.922392
204154300,2, DSCUT,0.907716
204171214,2,    EA,0.75017
204181806,2, DSCUT,0.980823
204183093,2,    EA,0.9175
204183656,2,    EA,0.8339139999999999
204185956,2,    EA,0.938837
204199860,2, DSCUT,0.9294819999999999
204212045,2,OTHPER,0.992346
204225046,2,    EB,0.935659
204230492,2, Noise,0.983125
204234138,2,    EA,0.7027909999999999
204236712,2,    EA,0.825982
204275121,2,    EB,0.9743440000000001
204299478,2,  GDOR,0.9036799999999999
204312847,2,    EA,0.9789700000000001
204320514,2,OTHPER,0.991632
204353555,2,    EB,0.9594290000000001
204376704,2, DSCUT,0.938141
204405530,2,OTHPER,0.9917159999999999
204470067,2,    EA,0.727722
204491082,2,OTHPER,0.9901110000000001
204494002,2,OTHPER,0.991051
204508330,2, Noise,0.9872780000000001
204556512,2,  GDOR,0.898408
204558226,2, DSCUT,0.9480799999999999
204558724,2,    EB,0.9240290000000001
204561424,2,    EB,0.9687889999999999
204561871,2,    EB,0.9691290000000001
204574155,2, DSCUT,0.940292
204576757,2,    EA,0.989592
204599418,2, Noise,0.982817
204600767,2, DSCUT,0.9934729999999999
204604359,2,  RRab,0.727238
204629934,2,OTHPER,0.9917790000000001
204649811,2,    EA,0.714168
204666545,2, Noise,0.9892770000000001
204673472,2, DSCUT,0.910236
204676375,2, Noise,0.986168
204676803,2,    EA,0.935773
204748201,2,    EA,0.997102
204760247,2,    EA,0.719164
204771848,2,OTHPER,0.990166
204778376,2,  RRab,0.771544
204780832,2,  RRab,0.669004
204787022,2, Noise,0.983627
204807478,2,OTHPER,0.990174
204808234,2, Noise,0.9837889999999999
204815607,2,  RRab,0.66815
204817435,2,  GDOR,0.745212
204819511,2,OTHPER,0.9932850000000001
204820375,2,OTHPER,0.993706
204876991,2,  RRab,0.688756
204880394,2,  RRab,0.963592
204894780,2,  RRab,0.627312
204903894,2,  RRab,0.661624
204904480,2,  RRab,0.646702
204907195,2,    EB,0.9974219999999999
204924308,2, Noise,0.985243
204925198,2,OTHPER,0.99013
204930285,2, Noise,0.983002
204933419,2,  RRab,0.603196
204938521,2,  GDOR,0.9585629999999999
204951319,2,    EA,0.783145
204959709,2,    EA,0.8591049999999999
204965815,2,  GDOR,0.77878
204966750,2,  GDOR,0.6854359999999999
204979833,2,  RRab,0.725539
204994280,2,  RRab,0.6514
205007882,2,  RRab,0.703749
205019541,2,    EA,0.718517
205020466,2,    EA,0.8626469999999999
205040035,2, DSCUT,0.956318
205042193,2,OTHPER,0.9922290000000001
205043428,2,  GDOR,0.70257
205050711,2,    EA,0.9190510000000001
205054021,2, DSCUT,0.968461
205057908,2,OTHPER,0.994175
205060983,2,    EB,0.952993
205062129,2,    EB,0.998749
205075874,2,  GDOR,0.959032
205084928,2,OTHPER,0.9910059999999999
205089975,2, DSCUT,0.9908459999999999
205112883,2,  GDOR,0.706979
205114328,2,  RRab,0.648088
205123245,2,OTHPER,0.9933219999999999
205131464,2,    EB,0.991323
205136799,2, DSCUT,0.915948
205149790,2,    EB,0.989183
205152526,2,  RRab,0.823557
205164324,2,  RRab,0.652452
205168996,2, DSCUT,0.988333
205170167,2, DSCUT,0.9146549999999999
205170307,2,    EA,0.992091
205225132,2, DSCUT,0.9927969999999999
205225995,2, Noise,0.981667
205247045,2,  GDOR,0.817459
205275157,2,  GDOR,0.774338
205278742,2, DSCUT,0.957111
205363642,2,  GDOR,0.786483
205388726,2, DSCUT,0.895582
205405404,2,    EB,0.9995430000000001
205432585,2, DSCUT,0.9309059999999999
205463986,2,    EA,0.963051
205485891,2,    EA,0.702343
205495245,2,  RRab,0.9910200000000001
205510377,2,  GDOR,0.760519
205527197,2,    EB,0.970525
205546169,2,    EA,0.951775
205550411,2, Noise,0.9825940000000001
205554809,2,    EA,0.977033
205557744,2,    EB,0.9897540000000001
205558024,2,  RRab,0.630272
205565079,2, DSCUT,0.966152
205602688,2,OTHPER,0.9914459999999999
205613964,2,  RRab,0.740337
205625849,2,  RRab,0.984614
205670261,2, DSCUT,0.9358040000000001
205670640,2,  RRab,0.6565380000000001
205676611,2,  RRab,0.645416
205684710,2,  RRab,0.8406049999999999
205694298,2,OTHPER,0.9949520000000001
205703649,2,    EA,0.9877870000000001
205717017,2, Noise,0.987245
205728169,2,    EB,0.968823
205889250,3, Noise,0.728601
205890696,3, Noise,0.6019399999999999
205891576,3, Noise,0.42378599999999994
205892108,3,OTHPER,0.479254
205892281,3,OTHPER,0.470055
205892677,3, Noise,0.500346
205893085,3, Noise,0.420987
205893214,3,OTHPER,0.48006800000000005
205893469,3, Noise,0.48096300000000003
205893603,3, Noise,0.5067
205893702,3,OTHPER,0.47903199999999996
205893858,3, Noise,0.537652
205894358,3, Noise,0.522429
205894941,3, Noise,0.525162
205895090,3,OTHPER,0.519134
205896070,3, Noise,0.514239
205896106,3,OTHPER,0.45134300000000005
205896226,3,OTHPER,0.5623520000000001
205896348,3, Noise,0.487724
205896459,3,OTHPER,0.515781
205896499,3, Noise,0.6062069999999999
205896721,3, Noise,0.5127689999999999
205896873,3, Noise,0.539564
205897059,3, Noise,0.48278000000000004
205897280,3,OTHPER,0.487415
205897389,3, Noise,0.475259
205897543,3, Noise,0.5680529999999999
205897774,3,OTHPER,0.49287200000000003
205898099,3, Noise,0.45456499999999994
205898160,3,OTHPER,0.49384799999999995
205898238,3, Noise,0.444082
205898439,3, Noise,0.41322200000000003
205898454,3, Noise,0.47672700000000007
205898527,3,OTHPER,0.446104
205898872,3, Noise,0.539551
205898882,3, Noise,0.590567
205899208,3,OTHPER,0.551597
205899782,3, Noise,0.429093
205899868,3, Noise,0.638648
205900901,3, Noise,0.525258
205901168,3,OTHPER,0.5718310000000001
205901212,3, Noise,0.514219
205901226,3, Noise,0.439101
205901259,3,OTHPER,0.48025100000000004
205901278,3, Noise,0.5675439999999999
205901354,3,OTHPER,0.734791
205901365,3,OTHPER,0.948667
205901524,3,OTHPER,0.894599
205901703,3,OTHPER,0.651644
205901713,3, Noise,0.49105
205901944,3,OTHPER,0.559902
205902142,3, Noise,0.453349
205902289,3, Noise,0.433935
205902352,3,OTHPER,0.790342
205902368,3, Noise,0.480901
205902410,3,OTHPER,0.467588
205902486,3, Noise,0.445133
205902563,3, Noise,0.503918
205902815,3,OTHPER,0.5041640000000001
205902846,3, Noise,0.459229
205902984,3, Noise,0.601225
205903013,3, Noise,0.535679
205903167,3, Noise,0.576929
205903300,3, Noise,0.5079359999999999
205903477,3, Noise,0.5445220000000001
205903692,3,OTHPER,0.568423
205903713,3, Noise,0.553701
205903903,3, Noise,0.479487
205904010,3, Noise,0.445349
205904095,3, Noise,0.469558
205904127,3, Noise,0.55335
205904260,3,OTHPER,0.5215569999999999
205904592,3, Noise,0.56272
205904628,3, Noise,0.744546
205904697,3, Noise,0.732781
205904844,3, Noise,0.460755
205904964,3, Noise,0.46750600000000003
205905024,3, Noise,0.41850699999999996
205905085,3, Noise,0.44222
205905204,3,OTHPER,0.513342
205905261,3, Noise,0.633419
205905303,3, Noise,0.637325
205905356,3, Noise,0.600136
205905563,3,OTHPER,0.503909
205905604,3,OTHPER,0.471757
205905673,3, Noise,0.43040900000000004
205905693,3,  RRab,0.840791
205905919,3, Noise,0.460954
205905922,3, Noise,0.643155
205906121,3, Noise,0.48247299999999993
205906140,3, Noise,0.622292
205906154,3, Noise,0.421048
205906244,3, Noise,0.578846
205906302,3,OTHPER,0.6027710000000001
205906310,3, Noise,0.625472
205906385,3,OTHPER,0.6018220000000001
205906390,3, Noise,0.639571
205906794,3, Noise,0.42591599999999996
205906828,3, Noise,0.651487
205907051,3,OTHPER,0.44435399999999997
205907214,3, Noise,0.42991
205907443,3, Noise,0.5057229999999999
205907488,3,OTHPER,0.555891
205907593,3, Noise,0.550616
205907813,3, Noise,0.843033
205907951,3, Noise,0.670986
205908042,3, Noise,0.484678
205908064,3, Noise,0.49107
205908091,3, Noise,0.48440600000000006
205908127,3, Noise,0.557851
205908167,3, Noise,0.5872569999999999
205908169,3, Noise,0.434863
205908197,3,OTHPER,0.5586270000000001
205908263,3,OTHPER,0.478117
205908296,3, Noise,0.48108599999999996
205908353,3,OTHPER,0.574217
205908392,3, Noise,0.45554700000000004
205908429,3, Noise,0.715553
205908463,3, Noise,0.628185
205908472,3, Noise,0.418342
205908544,3, Noise,0.5612060000000001
205908577,3,OTHPER,0.727572
205908691,3,OTHPER,0.60954
205908698,3, Noise,0.452229
205908750,3,OTHPER,0.877727
205908754,3, Noise,0.5753229999999999
205908778,3, Noise,0.5287569999999999
205908818,3,OTHPER,0.622253
205908988,3, Noise,0.50883
205909085,3,OTHPER,0.48068599999999995
205909110,3,    EA,0.4313
205909135,3,OTHPER,0.485917
205909307,3, Noise,0.54177
205909334,3, Noise,0.550158
205909377,3, Noise,0.5026010000000001
205909389,3, Noise,0.5180859999999999
205909417,3,OTHPER,0.461667
205909728,3, Noise,0.60612
205909878,3, Noise,0.49694099999999997
205909993,3, Noise,0.470472
205910305,3,OTHPER,0.469005
205910324,3,    EB,0.860699
205910447,3,OTHPER,0.622351
205910609,3, Noise,0.513129
205910644,3,OTHPER,0.922118
205910729,3,OTHPER,0.447959
205910757,3, Noise,0.467771
205910796,3, Noise,0.654993
205910823,3, Noise,0.660279
205910862,3, Noise,0.41162600000000005
205910913,3,OTHPER,0.666714
205910971,3,OTHPER,0.497938
205910991,3,OTHPER,0.774691
205911030,3, Noise,0.496547
205911100,3, Noise,0.6450640000000001
205911124,3, Noise,0.458409
205911178,3, Noise,0.513843
205911187,3, Noise,0.418847
205911202,3, Noise,0.49286800000000003
205911287,3, Noise,0.459863
205911443,3,OTHPER,0.41317600000000004
205911488,3, Noise,0.592895
205911491,3, Noise,0.505256
205911536,3, Noise,0.610851
205911733,3, Noise,0.556607
205911734,3,OTHPER,0.8624719999999999
205911821,3, Noise,0.480166
205911851,3, Noise,0.543089
205911872,3, Noise,0.520342
205911960,3,OTHPER,0.545579
205912027,3, Noise,0.651935
205912028,3, Noise,0.45523900000000006
205912176,3,OTHPER,0.5495
205912229,3,OTHPER,0.59913
205912245,3, Noise,0.470488
205912367,3, Noise,0.69881
205912386,3, Noise,0.49946499999999994
205912408,3,OTHPER,0.499532
205912424,3, Noise,0.47784799999999994
205912560,3, Noise,0.5590579999999999
205912715,3, Noise,0.506574
205912731,3,OTHPER,0.567704
205912859,3, Noise,0.47153199999999995
205912866,3, Noise,0.49966499999999997
205912889,3, Noise,0.49003100000000005
205912898,3, Noise,0.48118900000000003
205912929,3,OTHPER,0.591865
205912982,3, Noise,0.461867
205913009,3, Noise,0.49595
205913099,3, Noise,0.430437
205913245,3, Noise,0.432399
205913285,3, Noise,0.5881390000000001
205913308,3,OTHPER,0.553137
205913366,3,OTHPER,0.521594
205913369,3, Noise,0.47723000000000004
205913731,3, Noise,0.5321670000000001
205913826,3, Noise,0.552187
205913863,3, Noise,0.520258
205913955,3,OTHPER,0.520787
205913992,3, Noise,0.513604
205914001,3,OTHPER,0.576542
205914012,3,OTHPER,0.579043
205914038,3, Noise,0.474829
205914052,3, Noise,0.445061
205914320,3, Noise,0.5672149999999999
205914433,3,OTHPER,0.49013100000000004
205914539,3,OTHPER,0.457083
205914551,3, Noise,0.514282
205914589,3,OTHPER,0.687742
205914673,3, Noise,0.609725
205914715,3,OTHPER,0.7398020000000001
205914724,3,OTHPER,0.466758
205914769,3,OTHPER,0.842053
205914832,3,  RRab,0.42515600000000003
205915051,3,OTHPER,0.413596
205915088,3, Noise,0.638317
205915157,3, Noise,0.510962
205915237,3, Noise,0.554154
205915309,3, Noise,0.542641
205915365,3, Noise,0.640837
205915399,3, Noise,0.49008999999999997
205915490,3, Noise,0.585182
205915513,3, Noise,0.5683189999999999
205915557,3,OTHPER,0.545639
205915608,3,OTHPER,0.4882
205915657,3,  RRab,0.570602
205915833,3, Noise,0.576494
205915902,3, Noise,0.502073
205916083,3, Noise,0.8354219999999999
205916093,3, Noise,0.48406899999999997
205916098,3, Noise,0.6402939999999999
205916292,3,OTHPER,0.508423
205916453,3,OTHPER,0.66811
205916458,3, Noise,0.637677
205916496,3, Noise,0.665741
205916507,3, Noise,0.589272
205916567,3,OTHPER,0.49367700000000003
205916625,3,OTHPER,0.47824399999999995
205916760,3,OTHPER,0.539471
205916810,3,OTHPER,0.672191
205916875,3, Noise,0.46636000000000005
205916940,3, Noise,0.6500600000000001
205917074,3, Noise,0.49741499999999994
205917141,3,OTHPER,0.676365
205917153,3, Noise,0.646753
205917162,3, Noise,0.451528
205917243,3, Noise,0.510494
205917263,3, Noise,0.522958
205917297,3, Noise,0.44692200000000004
205917319,3,OTHPER,0.435137
205917338,3, Noise,0.452087
205917406,3,OTHPER,0.63464
205917435,3, Noise,0.5921350000000001
205917469,3, Noise,0.41155699999999995
205917471,3, Noise,0.608809
205917475,3,OTHPER,0.555326
205917842,3, Noise,0.505757
205917847,3,OTHPER,0.462225
205917849,3, Noise,0.41935900000000004
205917896,3, Noise,0.599375
205917907,3,OTHPER,0.43636099999999994
205917912,3,OTHPER,0.46321599999999996
205917956,3, Noise,0.744164
205917986,3, Noise,0.510113
205918058,3, Noise,0.646988
205918113,3, Noise,0.478497
205918278,3, Noise,0.414033
205918335,3, Noise,0.65777
205918377,3, Noise,0.48905
205918431,3,OTHPER,0.547083
205918432,3, Noise,0.5020140000000001
205918605,3,OTHPER,0.479501
205918638,3, Noise,0.617755
205918690,3,OTHPER,0.47787799999999997
205918796,3, Noise,0.45430699999999996
205918843,3, Noise,0.555944
205918928,3, Noise,0.584542
205919039,3, Noise,0.45732
205919060,3, Noise,0.43873900000000005
205919074,3,OTHPER,0.756212
205919177,3, Noise,0.53773
205919224,3,OTHPER,0.47240699999999997
205919444,3,OTHPER,0.42203500000000005
205919478,3, Noise,0.518105
205919506,3, Noise,0.49776400000000004
205919555,3, Noise,0.497429
205919614,3, Noise,0.46623100000000006
205919877,3, Noise,0.470296
205919971,3, Noise,0.435778
205919993,3,OTHPER,0.425069
205919994,3,OTHPER,0.986151
205920209,3,OTHPER,0.596985
205920347,3, Noise,0.657626
205920350,3, Noise,0.515459
205920374,3,OTHPER,0.5141100000000001
205920376,3,OTHPER,0.475656
205920431,3, Noise,0.518362
205920640,3,OTHPER,0.49100200000000005
205920687,3, Noise,0.707703
205920793,3,OTHPER,0.500671
205920840,3,OTHPER,0.503124
205920873,3, Noise,0.7036020000000001
205920906,3, Noise,0.4922
205920914,3, Noise,0.5448890000000001
205920995,3, Noise,0.5369970000000001
205921032,3, Noise,0.462834
205921511,3,OTHPER,0.5343319999999999
205921584,3, Noise,0.6410600000000001
205921691,3, Noise,0.487176
205921749,3, Noise,0.474792
205921868,3, Noise,0.48516800000000004
205922003,3, Noise,0.626223
205922011,3, Noise,0.507107
205922054,3,OTHPER,0.489504
205922171,3, Noise,0.479786
205922239,3,OTHPER,0.479821
205922257,3, Noise,0.425284
205922368,3, Noise,0.5214840000000001
205922540,3, Noise,0.551584
205922566,3, Noise,0.445092
205922651,3,OTHPER,0.49645
205922684,3,OTHPER,0.656928
205922796,3, Noise,0.432892
205922972,3, Noise,0.527292
205923028,3,OTHPER,0.42168199999999995
205923089,3, Noise,0.44815
205923133,3, Noise,0.5572550000000001
205923156,3, Noise,0.500464
205923351,3, Noise,0.562014
205923375,3, Noise,0.475786
205923418,3,OTHPER,0.45998199999999995
205923456,3, Noise,0.505279
205923537,3,OTHPER,0.738668
205923656,3, Noise,0.473361
205923669,3,OTHPER,0.5007060000000001
205923787,3, Noise,0.5455270000000001
205923813,3, Noise,0.47851099999999996
205923870,3, Noise,0.463028
205923900,3, Noise,0.511245
205923910,3, Noise,0.49743100000000007
205923914,3, Noise,0.478897
205924057,3, Noise,0.496384
205924070,3,OTHPER,0.446588
205924154,3,OTHPER,0.658242
205924173,3, Noise,0.453582
205924214,3,  GDOR,0.49926499999999996
205924248,3, Noise,0.810587
205924249,3,OTHPER,0.486491
205924302,3, Noise,0.524395
205924422,3,OTHPER,0.734109
205924423,3,OTHPER,0.733631
205924466,3, Noise,0.494903
205924501,3, Noise,0.487605
205924575,3, Noise,0.507541
205924593,3, Noise,0.528913
205924598,3, Noise,0.7333430000000001
205924604,3, Noise,0.449772
205924614,3, Noise,0.570947
205924795,3, Noise,0.511262
205924877,3,OTHPER,0.448013
205924957,3,OTHPER,0.5222289999999999
205925016,3,OTHPER,0.596453
205925017,3, Noise,0.47601800000000005
205925018,3, Noise,0.5057729999999999
205925129,3,OTHPER,0.492613
205925130,3,OTHPER,0.7676149999999999
205925131,3, Noise,0.475105
205925135,3, Noise,0.823269
205925176,3, Noise,0.48778999999999995
205925194,3, Noise,0.51886
205925390,3, Noise,0.43407799999999996
205925404,3,OTHPER,0.53769
205925504,3,OTHPER,0.6009479999999999
205925602,3, Noise,0.5326380000000001
205925778,3,OTHPER,0.920226
205925807,3, Noise,0.434399
205925873,3, Noise,0.448427
205925967,3, Noise,0.43520200000000003
205926055,3, Noise,0.498621
205926077,3,OTHPER,0.5240779999999999
205926146,3, Noise,0.5809350000000001
205926240,3, Noise,0.724489
205926273,3, DSCUT,0.547992
205926283,3, Noise,0.687896
205926322,3, Noise,0.541981
205926333,3, Noise,0.7031470000000001
