epic_number,Campaign,DJA_Class,DJA_Probability,Class
204951319,2,    EA,0.783145, Noise
204959709,2,    EA,0.8591049999999999, Noise
204965815,2,  GDOR,0.77878,  GDOR
204966750,2,  GDOR,0.6854359999999999,  GDOR
204979833,2,  RRab,0.725539,  RRab
204994280,2,  RRab,0.6514,OTHPER
205007882,2,  RRab,0.703749,  RRab
205019541,2,    EA,0.718517, Noise
205020466,2,    EA,0.8626469999999999,    EA
205040035,2, DSCUT,0.956318, DSCUT
205042193,2,OTHPER,0.992229,OTHPER
205043428,2,  GDOR,0.70257,  GDOR
205050711,2,    EA,0.919051,    EA
205054021,2, DSCUT,0.968461, DSCUT
205057908,2,OTHPER,0.994175,OTHPER
205060983,2,    EB,0.952993,    EB
205062129,2,    EB,0.998749,    EB
205075874,2,  GDOR,0.959032,  GDOR
205084928,2,OTHPER,0.991006,OTHPER
205089975,2, DSCUT,0.990846, DSCUT
205112883,2,  GDOR,0.706979,  GDOR
205114328,2,  RRab,0.648088,  RRab
205123245,2,OTHPER,0.993322,OTHPER
205131464,2,    EB,0.991323,    EB
205136799,2, DSCUT,0.915948, DSCUT
205149790,2,    EB,0.989183,    EB
205152526,2,  RRab,0.823557,  RRab
205164324,2,  RRab,0.652452,  RRab
205168996,2, DSCUT,0.988333, DSCUT
205170167,2, DSCUT,0.914655, Noise
205170307,2,    EA,0.992091,    EA
205225132,2, DSCUT,0.992797, DSCUT
205225995,2, Noise,0.981667, Noise
205247045,2,  GDOR,0.817459,  GDOR
205275157,2,  GDOR,0.774338,  GDOR
205278742,2, DSCUT,0.957111, DSCUT
205363642,2,  GDOR,0.786483,  GDOR
205388726,2, DSCUT,0.895582, DSCUT
205405404,2,    EB,0.999543,    EB
205432585,2, DSCUT,0.930906, DSCUT
205463986,2,    EA,0.963051,    EA
205485891,2,    EA,0.702343,    EA
205495245,2,  RRab,0.99102,  RRab
205510377,2,  GDOR,0.760519,  GDOR
205527197,2,    EB,0.970525,    EB
205546169,2,    EA,0.951775,    EA
205550411,2, Noise,0.982594, Noise
205554809,2,    EA,0.977033,    EA
205557744,2,    EB,0.989754,    EB
205558024,2,  RRab,0.630272,  RRab
205565079,2, DSCUT,0.966152, DSCUT
205602688,2,OTHPER,0.991446,OTHPER
205613964,2,  RRab,0.740337,  RRab
205625849,2,  RRab,0.984614,  RRab
205670261,2, DSCUT,0.935804, DSCUT
205670640,2,  RRab,0.6565380000000001,  RRab
205676611,2,  RRab,0.645416,  RRab
205684710,2,  RRab,0.8406049999999999,  RRab
205694298,2,OTHPER,0.994952,OTHPER
205703649,2,    EA,0.987787,    EA
205717017,2, Noise,0.987245, Noise
205728169,2,    EB,0.968823,    EB
205889250,3, Noise,0.728601, Noise
205890696,3, Noise,0.6019399999999999, Noise
205892677,3, Noise,0.500346, Noise
205893603,3, Noise,0.5067, Noise
205893858,3, Noise,0.537652, Noise
205894358,3, Noise,0.522429, Noise
205894941,3, Noise,0.525162, Noise
205895090,3,OTHPER,0.519134,OTHPER
205896070,3, Noise,0.514239, Noise
205896226,3,OTHPER,0.5623520000000001,OTHPER
205896459,3,OTHPER,0.515781,OTHPER
205896499,3, Noise,0.6062069999999999, Noise
205896721,3, Noise,0.5127689999999999, Noise
205896873,3, Noise,0.539564, Noise
205897543,3, Noise,0.5680529999999999, Noise
205898872,3, Noise,0.539551, Noise
205898882,3, Noise,0.590567, Noise
205899208,3,OTHPER,0.551597,OTHPER
205899868,3, Noise,0.638648, Noise
205900901,3, Noise,0.525258, Noise
205901168,3,OTHPER,0.5718310000000001,OTHPER
205901212,3, Noise,0.514219, Noise
205901278,3, Noise,0.5675439999999999, Noise
205901354,3,OTHPER,0.734791,OTHPER
205901365,3,OTHPER,0.948667,OTHPER
205901524,3,OTHPER,0.894599,OTHPER
205901703,3,OTHPER,0.651644,OTHPER
205901944,3,OTHPER,0.559902,OTHPER
205902352,3,OTHPER,0.790342,OTHPER
205902563,3, Noise,0.503918, Noise
205902815,3,OTHPER,0.5041640000000001,OTHPER
205902984,3, Noise,0.601225, Noise
205903013,3, Noise,0.535679, Noise
205903167,3, Noise,0.576929, Noise
205903300,3, Noise,0.5079359999999999, Noise
205903477,3, Noise,0.5445220000000001, Noise
205903692,3,OTHPER,0.568423,OTHPER
205903713,3, Noise,0.553701, Noise
205904127,3, Noise,0.55335, Noise
205904260,3,OTHPER,0.5215569999999999,OTHPER
205904592,3, Noise,0.56272, Noise
205904628,3, Noise,0.744546, Noise
205904697,3, Noise,0.732781, Noise
205905204,3,OTHPER,0.513342,OTHPER
205905261,3, Noise,0.633419, Noise
205905303,3, Noise,0.637325, Noise
205905356,3, Noise,0.600136, Noise
205905563,3,OTHPER,0.503909,OTHPER
205905693,3,  RRab,0.840791,  RRab
205905922,3, Noise,0.643155, Noise
205906140,3, Noise,0.622292, Noise
205906244,3, Noise,0.578846, Noise
205906302,3,OTHPER,0.6027710000000001,OTHPER
205906310,3, Noise,0.625472, Noise
205906385,3,OTHPER,0.6018220000000001,OTHPER
205906390,3, Noise,0.639571, Noise
205906828,3, Noise,0.651487, Noise
205907443,3, Noise,0.5057229999999999, Noise
205907488,3,OTHPER,0.555891,OTHPER
205907593,3, Noise,0.550616, Noise
205907813,3, Noise,0.843033, Noise
205907951,3, Noise,0.670986, Noise
205908127,3, Noise,0.557851, Noise
205908167,3, Noise,0.5872569999999999, Noise
205908197,3,OTHPER,0.5586270000000001,OTHPER
205908353,3,OTHPER,0.574217,OTHPER
205908429,3, Noise,0.715553, Noise
205908463,3, Noise,0.628185, Noise
205908544,3, Noise,0.5612060000000001, Noise
205908577,3,OTHPER,0.727572,OTHPER
205908691,3,OTHPER,0.60954,OTHPER
205908750,3,OTHPER,0.877727,OTHPER
205908754,3, Noise,0.5753229999999999, Noise
205908778,3, Noise,0.5287569999999999, Noise
205908818,3,OTHPER,0.622253,OTHPER
205908988,3, Noise,0.50883, Noise
205909307,3, Noise,0.54177, Noise
205909334,3, Noise,0.550158, Noise
205909377,3, Noise,0.5026010000000001, Noise
205909389,3, Noise,0.5180859999999999, Noise
205909728,3, Noise,0.60612, Noise
205910324,3,    EB,0.860699,    EB
205910447,3,OTHPER,0.622351,OTHPER
205910609,3, Noise,0.513129, Noise
205910644,3,OTHPER,0.922118,OTHPER
205910796,3, Noise,0.654993, Noise
205910823,3, Noise,0.660279, Noise
205910913,3,OTHPER,0.666714,OTHPER
205910991,3,OTHPER,0.774691,OTHPER
205911100,3, Noise,0.6450640000000001, Noise
205911178,3, Noise,0.513843, Noise
205911488,3, Noise,0.592895, Noise
205911491,3, Noise,0.505256, Noise
205911536,3, Noise,0.610851, Noise
205911733,3, Noise,0.556607, Noise
205911734,3,OTHPER,0.8624719999999999,OTHPER
205911851,3, Noise,0.543089, Noise
205911872,3, Noise,0.520342, Noise
205911960,3,OTHPER,0.545579,OTHPER
205912027,3, Noise,0.651935, Noise
205912176,3,OTHPER,0.5495,OTHPER
205912229,3,OTHPER,0.59913,OTHPER
205912367,3, Noise,0.69881, Noise
205912560,3, Noise,0.5590579999999999, Noise
205912715,3, Noise,0.506574, Noise
205912731,3,OTHPER,0.567704,OTHPER
205912929,3,OTHPER,0.591865,OTHPER
205913285,3, Noise,0.5881390000000001, Noise
205913308,3,OTHPER,0.553137,OTHPER
205913366,3,OTHPER,0.521594,OTHPER
205913731,3, Noise,0.5321670000000001, Noise
205913826,3, Noise,0.552187, Noise
205913863,3, Noise,0.520258, Noise
205913955,3,OTHPER,0.520787,OTHPER
205913992,3, Noise,0.513604, Noise
205914001,3,OTHPER,0.576542,OTHPER
205914012,3,OTHPER,0.579043,OTHPER
205914320,3, Noise,0.5672149999999999, Noise
205914551,3, Noise,0.514282, Noise
205914589,3,OTHPER,0.687742,OTHPER
205914673,3, Noise,0.609725, Noise
205914715,3,OTHPER,0.7398020000000001,OTHPER
205914769,3,OTHPER,0.842053,OTHPER
205915088,3, Noise,0.638317, Noise
205915157,3, Noise,0.510962, Noise
205915237,3, Noise,0.554154, Noise
205915309,3, Noise,0.542641, Noise
205915365,3, Noise,0.640837, Noise
205915490,3, Noise,0.585182, Noise
205915513,3, Noise,0.5683189999999999, Noise
205915557,3,OTHPER,0.545639,OTHPER
205915657,3,  RRab,0.570602,  RRab
205915833,3, Noise,0.576494, Noise
205915902,3, Noise,0.502073, Noise
205916083,3, Noise,0.8354219999999999, Noise
205916098,3, Noise,0.6402939999999999, Noise
205916292,3,OTHPER,0.508423,OTHPER
205916453,3,OTHPER,0.66811,OTHPER
205916458,3, Noise,0.637677, Noise
205916496,3, Noise,0.665741, Noise
205916507,3, Noise,0.589272, Noise
205916760,3,OTHPER,0.539471,OTHPER
205916810,3,OTHPER,0.672191,OTHPER
205916940,3, Noise,0.6500600000000001, Noise
205917141,3,OTHPER,0.676365,OTHPER
205917153,3, Noise,0.646753, Noise
205917243,3, Noise,0.510494, Noise
205917263,3, Noise,0.522958, Noise
205917406,3,OTHPER,0.63464,OTHPER
205917435,3, Noise,0.5921350000000001, Noise
205917471,3, Noise,0.608809, Noise
205917475,3,OTHPER,0.555326,OTHPER
205917842,3, Noise,0.505757, Noise
205917896,3, Noise,0.599375, Noise
205917956,3, Noise,0.744164, Noise
205917986,3, Noise,0.510113, Noise
205918058,3, Noise,0.646988, Noise
205918335,3, Noise,0.65777, Noise
205918431,3,OTHPER,0.547083,OTHPER
205918432,3, Noise,0.5020140000000001, Noise
205918638,3, Noise,0.617755, Noise
205918843,3, Noise,0.555944, Noise
205918928,3, Noise,0.584542, Noise
205919074,3,OTHPER,0.756212,OTHPER
205919177,3, Noise,0.53773, Noise
205919478,3, Noise,0.518105, Noise
205919994,3,OTHPER,0.986151,OTHPER
205920209,3,OTHPER,0.596985,OTHPER
205920347,3, Noise,0.657626, Noise
205920350,3, Noise,0.515459, Noise
205920374,3,OTHPER,0.5141100000000001,OTHPER
205920431,3, Noise,0.518362, Noise
205920687,3, Noise,0.707703, Noise
205920793,3,OTHPER,0.500671,OTHPER
205920840,3,OTHPER,0.503124,OTHPER
205920873,3, Noise,0.7036020000000001, Noise
205920914,3, Noise,0.5448890000000001, Noise
205920995,3, Noise,0.5369970000000001, Noise
205921511,3,OTHPER,0.5343319999999999,OTHPER
205921584,3, Noise,0.6410600000000001, Noise
205922003,3, Noise,0.626223, Noise
205922011,3, Noise,0.507107, Noise
205922368,3, Noise,0.5214840000000001, Noise
205922540,3, Noise,0.551584, Noise
205922684,3,OTHPER,0.656928,OTHPER
205922972,3, Noise,0.527292, Noise
205923133,3, Noise,0.5572550000000001, Noise
205923156,3, Noise,0.500464, Noise
205923351,3, Noise,0.562014, Noise
205923456,3, Noise,0.505279, Noise
205923537,3,OTHPER,0.738668,OTHPER
205923669,3,OTHPER,0.5007060000000001,OTHPER
205923787,3, Noise,0.5455270000000001, Noise
205923900,3, Noise,0.511245, Noise
205924154,3,OTHPER,0.658242,OTHPER
205924248,3, Noise,0.810587, Noise
205924302,3, Noise,0.524395, Noise
205924422,3,OTHPER,0.734109,OTHPER
205924423,3,OTHPER,0.733631,OTHPER
205924575,3, Noise,0.507541, Noise
205924593,3, Noise,0.528913, Noise
205924598,3, Noise,0.7333430000000001, Noise
205924614,3, Noise,0.570947,    EA
205924795,3, Noise,0.511262, Noise
205924957,3,OTHPER,0.5222289999999999,OTHPER
205925016,3,OTHPER,0.596453,OTHPER
205925018,3, Noise,0.5057729999999999, Noise
205925130,3,OTHPER,0.7676149999999999,OTHPER
205925135,3, Noise,0.823269, Noise
205925194,3, Noise,0.51886, Noise
205925404,3,OTHPER,0.53769,OTHPER
205925504,3,OTHPER,0.6009479999999999,OTHPER
205925602,3, Noise,0.5326380000000001, Noise
205925778,3,OTHPER,0.920226,OTHPER
205926077,3,OTHPER,0.5240779999999999,OTHPER
205926146,3, Noise,0.5809350000000001, Noise
205926240,3, Noise,0.724489, Noise
205926273,3, DSCUT,0.547992, DSCUT
205926283,3, Noise,0.687896, Noise
205926322,3, Noise,0.541981, Noise
205926333,3, Noise,0.7031470000000001, Noise
205926585,3,OTHPER,0.520732,OTHPER
205926618,3,OTHPER,0.6238520000000001,OTHPER
205926726,3, Noise,0.683072, Noise
205926751,3, Noise,0.6169640000000001, Noise
205926823,3, Noise,0.5915159999999999, Noise
205926843,3,OTHPER,0.967724,OTHPER
205926991,3, Noise,0.571241, Noise
205927117,3,OTHPER,0.518844,OTHPER
205927268,3,OTHPER,0.606111,OTHPER
205927366,3, Noise,0.518842, Noise
205927390,3, Noise,0.609049, Noise
205927392,3, Noise,0.508116, Noise
205927674,3,OTHPER,0.8795780000000001,OTHPER
