epic_number,Campaign,Class,Probability
201499998,1,OTHPER,0.9963540000000001
201501958,1,OTHPER,0.9906969999999999
201505569,1, Noise,0.98339
201507195,1, Noise,0.9821790000000001
201511174,1,OTHPER,0.9901909999999999
201517854,1,    EB,0.911546
201518531,1, Noise,0.9814729999999999
201518712,1,OTHPER,0.9928389999999999
201531578,1,    EB,0.936976
201534061,1, Noise,0.984075
201536956,1,  RRab,0.619929
201537170,1, Noise,0.9880559999999999
201540013,1,  RRab,0.740287
201543049,1, Noise,0.988408
201545555,1, Noise,0.987031
201546971,1, Noise,0.985052
201549223,1, Noise,0.9828049999999999
201552030,1,    EB,0.973491
201552857,1, Noise,0.982516
201552908,1, Noise,0.9841629999999999
201561005,1,OTHPER,0.992238
201562530,1,    EA,0.7187640000000001
201565020,1,OTHPER,0.990826
201567780,1, Noise,0.981323
201567820,1, Noise,0.981138
201571178,1, Noise,0.9881989999999999
201571675,1, Noise,0.988339
201571821,1, Noise,0.9838379999999999
201572722,1, Noise,0.9856870000000001
201576812,1,    EA,0.7054630000000001
201579626,1, Noise,0.9850059999999999
201582850,1, Noise,0.981241
201583400,1, Noise,0.9815440000000001
201585232,1, Noise,0.9816010000000001
201587445,1,OTHPER,0.993223
201589262,1, Noise,0.9835020000000001
201590024,1, Noise,0.991359
201592061,1,    EB,0.9956659999999999
201592476,1, Noise,0.9847469999999999
201592815,1, Noise,0.9818
201593658,1, Noise,0.984893
201600674,1, Noise,0.9834209999999999
201602854,1, DSCUT,0.9943559999999999
201603595,1,OTHPER,0.9909690000000001
201607088,1,    EB,0.982095
201608319,1,OTHPER,0.993466
201610136,1,OTHPER,0.991038
201610811,1,    EB,0.900755
201615127,1,OTHPER,0.9914200000000001
201615601,1,  GDOR,0.974643
201617930,1, Noise,0.983828
201621305,1, Noise,0.981382
201626606,1, Noise,0.989296
201630905,1, Noise,0.982933
201634054,1, Noise,0.981037
201634844,1, Noise,0.9869870000000001
201642107,1,OTHPER,0.9946649999999999
201644790,1, Noise,0.984605
201646800,1, Noise,0.9830209999999999
201648133,1,    EA,0.972627
201656525,1,OTHPER,0.9953860000000001
201664689,1,OTHPER,0.9920389999999999
201670373,1,OTHPER,0.9943069999999999
201671506,1,  GDOR,0.8280489999999999
201673708,1,OTHPER,0.993173
201674807,1, Noise,0.984044
201674814,1, Noise,0.983159
201676716,1, Noise,0.9865280000000001
201680569,1,    EB,0.967583
201681411,1,    EB,0.986243
201683910,1, Noise,0.9855870000000001
201689490,1,OTHPER,0.991966
201691034,1, Noise,0.9821469999999999
201695625,1,    EB,0.91199
201698669,1,    EB,0.993093
201700240,1,OTHPER,0.99379
201700247,1,OTHPER,0.996481
201700978,1,OTHPER,0.994007
201704541,1,    EB,0.989999
201707257,1,OTHPER,0.997816
201709153,1, Noise,0.982957
201711578,1,OTHPER,0.992326
201715262,1,    EB,0.900547
201715393,1,  GDOR,0.749131
201716883,1,  RRab,0.944782
201720109,1, Noise,0.9840049999999999
201720987,1, Noise,0.9822129999999999
201721222,1, Noise,0.984682
201723461,1,    EA,0.7306159999999999
201725399,1,    EB,0.9904290000000001
201725951,1, Noise,0.989083
201728074,1, Noise,0.983509
201731218,1,OTHPER,0.9926649999999999
201735172,1, Noise,0.981196
201738572,1,OTHPER,0.994142
201738755,1,OTHPER,0.990714
201739972,1, DSCUT,0.9582120000000001
201748885,1, Noise,0.984361
201749821,1,    EB,0.998527
201751439,1, Noise,0.9861280000000001
201751532,1, Noise,0.984858
201753254,1, Noise,0.983139
201753654,1, Noise,0.983714
201754974,1,OTHPER,0.9921209999999999
201762815,1,    EB,0.9959389999999999
201766747,1, Noise,0.983093
201768602,1, Noise,0.982866
201769424,1, Noise,0.981406
201774941,1, Noise,0.981886
201775723,1, Noise,0.9810040000000001
201780233,1,  RRab,0.716609
201786731,1, Noise,0.9869290000000001
201789080,1,OTHPER,0.9907239999999999
201790080,1,    EB,0.997081
201802433,1, Noise,0.981658
201803365,1,    EB,0.967434
201809540,1,OTHPER,0.995873
201810513,1,    EA,0.935575
201814774,1,  GDOR,0.745607
201817375,1, Noise,0.984857
201824843,1, Noise,0.98113
201826968,1,    EB,0.997466
201828402,1, Noise,0.9819120000000001
201832116,1,  GDOR,0.9130950000000001
201833284,1, Noise,0.981232
201839237,1, Noise,0.9843280000000001
201840254,1,OTHPER,0.996243
201843069,1,    EA,0.774812
201850413,1, DSCUT,0.9814649999999999
201855304,1,OTHPER,0.9922790000000001
201870289,1,OTHPER,0.996384
201871270,1, Noise,0.98695
201871951,1,  GDOR,0.848618
201882460,1, Noise,0.9827
201884852,1, Noise,0.9835020000000001
201890494,1,    EA,0.923384
201892629,1, Noise,0.9810979999999999
201893576,1,    EA,0.714268
201896663,1,OTHPER,0.9908530000000001
201902310,1,OTHPER,0.9900959999999999
201903779,1,  GDOR,0.7372890000000001
201904174,1,    EB,0.9135770000000001
201907820,1, Noise,0.985037
201910513,1,OTHPER,0.990492
201910662,1, Noise,0.982743
201914571,1, Noise,0.9887469999999999
201919351,1, Noise,0.981142
201921381,1,    EB,0.9836530000000001
201926949,1,OTHPER,0.997439
201927024,1,    EB,0.923997
201927431,1, Noise,0.9834799999999999
201928270,1,    EB,0.9035299999999999
201933700,1, Noise,0.981517
201933752,1, Noise,0.986116
201937413,1, Noise,0.9893569999999999
201940505,1,    EB,0.9886209999999999
201940767,1,    EB,0.9985290000000001
202518676,2, DSCUT,0.9821489999999999
202554180,2, DSCUT,0.9909629999999999
202619356,2,OTHPER,0.990511
202643279,2,    EB,0.9116190000000001
202652559,2,  GDOR,0.697742
202656096,2, Noise,0.9822639999999999
202665304,2,OTHPER,0.990576
202674012,2,    EA,0.9132309999999999
202679718,2,    EB,0.9384
202683805,2,OTHPER,0.996007
202688980,2,    EA,0.7872520000000001
202773276,2, DSCUT,0.9603209999999999
202774129,2,    EB,0.938969
202843085,2,    EA,0.9464799999999999
202844711,2,    EA,0.9872489999999999
202851823,2,    EB,0.983295
202863081,2, DSCUT,0.954686
202872758,2,OTHPER,0.993287
202911789,2, DSCUT,0.969483
202929357,2, DSCUT,0.9904440000000001
202963882,2,    EB,0.931543
202968864,2,    EB,0.9510790000000001
202984824,2,OTHPER,0.992792
203011840,2,    EA,0.792912
203026255,2, DSCUT,0.931984
203031097,2,  GDOR,0.9259129999999999
203075848,2,  GDOR,0.688135
203127694,2,  GDOR,0.802671
203162555,2, DSCUT,0.948943
203185007,2,OTHPER,0.9926309999999999
203294831,2,    EA,0.9387120000000001
203361171,2,    EA,0.9998809999999999
203372915,2,  RRab,0.7796850000000001
203396402,2,    EB,0.901315
203463506,2,    EB,0.997001
203466879,2,    EA,0.7439600000000001
203485624,2,    EB,0.9892620000000001
203486145,2,  GDOR,0.8510979999999999
203531786,2, DSCUT,0.891907
203534141,2, Noise,0.9823270000000001
203538499,2,OTHPER,0.991944
203542570,2,OTHPER,0.992749
203579600,2,  GDOR,0.904415
203593664,2,  GDOR,0.872841
203594870,2, Noise,0.9812129999999999
203596245,2,  RRab,0.978497
203596258,2,  RRab,0.974756
203606075,2,OTHPER,0.9917799999999999
203610780,2,    EA,0.9348549999999999
203630276,2,  RRab,0.730222
203636784,2,    EA,0.916226
203637372,2,OTHPER,0.9972610000000001
203654939,2,OTHPER,0.990181
203656002,2,    EA,0.792024
203656237,2, DSCUT,0.981323
203692906,2,  RRab,0.708593
203707855,2,  GDOR,0.85765
203710621,2, DSCUT,0.924444
203724283,2,    EA,0.708079
203728604,2,    EA,0.888892
203735292,2, Noise,0.982085
203735843,2, Noise,0.9837809999999999
203749720,2,    EB,0.9875079999999999
203764177,2,    EA,0.8737959999999999
203783195,2,    EA,0.9374459999999999
203819777,2,OTHPER,0.991135
203819998,2,OTHPER,0.992792
203824391,2,OTHPER,0.9906510000000001
203829123,2,  GDOR,0.783407
203868608,2,    EA,0.833369
203878683,2,    EA,0.992566
203902287,2,OTHPER,0.990878
203907133,2, DSCUT,0.893193
203908645,2,    EA,0.822617
203911955,2,    EA,0.956625
203929178,2,    EA,0.970936
203942067,2,    EA,0.9970950000000001
203964886,2, Noise,0.98254
203976840,2, Noise,0.986509
204018323,2, Noise,0.984333
204019947,2, Noise,0.981093
204034714,2, Noise,0.9839100000000001
204059927,2,    EA,0.8324870000000001
204073447,2,    EA,0.9926440000000001
204090458,2, DSCUT,0.95744
204091956,2,  RRab,0.601612
204105782,2,    EA,0.703855
204115101,2,  RRab,0.811253
204138967,2,    EB,0.922392
204154300,2, DSCUT,0.907716
204171214,2,    EA,0.75017
204181806,2, DSCUT,0.980823
204183093,2,    EA,0.9175
204183656,2,    EA,0.8339139999999999
204185956,2,    EA,0.938837
204199860,2, DSCUT,0.9294819999999999
204212045,2,OTHPER,0.992346
204225046,2,    EB,0.935659
204230492,2, Noise,0.983125
204234138,2,    EA,0.7027909999999999
204236712,2,    EA,0.825982
204275121,2,    EB,0.9743440000000001
204299478,2,  GDOR,0.9036799999999999
204312847,2,    EA,0.9789700000000001
204320514,2,OTHPER,0.991632
204353555,2,    EB,0.9594290000000001
204376704,2, DSCUT,0.938141
204405530,2,OTHPER,0.9917159999999999
204470067,2,    EA,0.727722
204491082,2,OTHPER,0.9901110000000001
204494002,2,OTHPER,0.991051
204508330,2, Noise,0.9872780000000001
204531124,2,    EA,0.82525
204556512,2,  GDOR,0.898408
204558724,2,    EB,0.9240290000000001
204561424,2,    EB,0.9687889999999999
204561871,2,    EB,0.9691290000000001
204574155,2, DSCUT,0.940292
204576757,2,    EA,0.989592
204599418,2, Noise,0.982817
204600767,2, DSCUT,0.9934729999999999
204604359,2,  RRab,0.727238
204629934,2,OTHPER,0.9917790000000001
204649811,2,    EA,0.714168
204666545,2, Noise,0.9892770000000001
204673472,2, DSCUT,0.910236
204676375,2, Noise,0.986168
204676803,2,    EA,0.935773
204676841,2,    EA,0.936392
204748201,2,    EA,0.997102
204760247,2,    EA,0.719164
204771848,2,OTHPER,0.990166
204778376,2,  RRab,0.771544
204780832,2,  RRab,0.669004
204787022,2, Noise,0.983627
204807478,2,OTHPER,0.990174
204808234,2, Noise,0.9837889999999999
204815607,2,  RRab,0.66815
204817435,2,  GDOR,0.745212
204819511,2,OTHPER,0.9932850000000001
204820375,2,OTHPER,0.993706
204876991,2,  RRab,0.688756
204880394,2,  RRab,0.963592
204894780,2,  RRab,0.627312
204903894,2,  RRab,0.661624
204904480,2,  RRab,0.646702
204907195,2,    EB,0.9974219999999999
204924308,2, Noise,0.985243
204925198,2,OTHPER,0.99013
204930285,2, Noise,0.983002
204933419,2,  RRab,0.603196
204938521,2,  GDOR,0.9585629999999999
204951319,2,    EA,0.783145
204959709,2,    EA,0.8591049999999999
204965815,2,  GDOR,0.77878
204966750,2,  GDOR,0.6854359999999999
204979833,2,  RRab,0.725539
204994280,2,  RRab,0.6514
205007882,2,  RRab,0.703749
205019541,2,    EA,0.718517
205019682,2,OTHPER,0.9938239999999999
205020466,2,    EA,0.8626469999999999
205040035,2, DSCUT,0.956318
205042193,2,OTHPER,0.9922290000000001
205043428,2,  GDOR,0.70257
205050711,2,    EA,0.9190510000000001
205054021,2, DSCUT,0.968461
205057908,2,OTHPER,0.994175
205060983,2,    EB,0.952993
205062129,2,    EB,0.998749
205075874,2,  GDOR,0.959032
205084928,2,OTHPER,0.9910059999999999
205089975,2, DSCUT,0.9908459999999999
205107159,2, DSCUT,0.933992
205112883,2,  GDOR,0.706979
205114328,2,  RRab,0.648088
205123245,2,OTHPER,0.9933219999999999
205131464,2,    EB,0.991323
205136799,2, DSCUT,0.915948
205149790,2,    EB,0.989183
205152526,2,  RRab,0.823557
205164324,2,  RRab,0.652452
205168996,2, DSCUT,0.988333
205170307,2,    EA,0.992091
205225132,2, DSCUT,0.9927969999999999
205225995,2, Noise,0.981667
205247045,2,  GDOR,0.817459
205275157,2,  GDOR,0.774338
205278742,2, DSCUT,0.957111
205363642,2,  GDOR,0.786483
205388726,2, DSCUT,0.895582
205405404,2,    EB,0.9995430000000001
205432585,2, DSCUT,0.9309059999999999
205463986,2,    EA,0.963051
205485891,2,    EA,0.702343
205495245,2,  RRab,0.9910200000000001
205510377,2,  GDOR,0.760519
205527197,2,    EB,0.970525
205546169,2,    EA,0.951775
205550411,2, Noise,0.9825940000000001
205554809,2,    EA,0.977033
205557744,2,    EB,0.9897540000000001
205558024,2,  RRab,0.630272
205565079,2, DSCUT,0.966152
205602688,2,OTHPER,0.9914459999999999
205613964,2,  RRab,0.740337
205625849,2,  RRab,0.984614
205670261,2, DSCUT,0.9358040000000001
205670640,2,  RRab,0.6565380000000001
205676611,2,  RRab,0.645416
205684710,2,  RRab,0.8406049999999999
205694298,2,OTHPER,0.9949520000000001
205703649,2,    EA,0.9877870000000001
205717017,2, Noise,0.987245
205728169,2,    EB,0.968823
205905693,3,  RRab,0.840791
205934378,3,  GDOR,0.7185729999999999
205934569,3,    EB,0.998682
205936222,3,    EA,0.9788600000000001
205941274,3,  RRab,0.960074
205943009,3,  GDOR,0.764178
205945953,3,    EB,0.997281
205954517,3,  GDOR,0.908185
205964285,3,    EB,0.9269930000000001
205969073,3,  RRab,0.922717
205977366,3,  RRab,0.953593
205978103,3,    EB,0.9741200000000001
205978617,3,    EB,0.99713
205982900,3,    EA,0.8959020000000001
205988265,3,  RRab,0.800399
205988562,3,    EB,0.998158
205992585,3,    EA,0.790153
205994924,3, DSCUT,0.9934780000000001
205997155,3,  RRab,0.775792
205997245,3,  GDOR,0.691234
205997818,3,    EB,0.9164959999999999
206000965,3,  RRab,0.6222979999999999
206001619,3,    EB,0.9903629999999999
206025663,3,    EB,0.9921260000000001
206028072,3,  RRab,0.6351220000000001
206029243,3,  RRab,0.621958
206031528,3,  GDOR,0.757213
206033974,3,  GDOR,0.942865
206034019,3,    EA,0.8638450000000001
206038285,3,    EB,0.941225
206044837,3,  RRab,0.659976
206045146,3,    EB,0.957067
206045448,3,    EB,0.96899
206046073,3,  RRab,0.9030309999999999
206046748,3,    EB,0.987936
206049222,3,    EB,0.948119
206051563,3,  GDOR,0.951274
206053592,3,  RRab,0.9466530000000001
206056155,3, DSCUT,0.927104
206058387,3,    EB,0.9854120000000001
206066909,3,    EA,0.9997280000000001
206067723,3,    EB,0.991418
206068091,3,OTHPER,0.9906280000000001
206074814,3,  GDOR,0.873748
206075677,3,    EA,0.936984
206079165,3, DSCUT,0.894057
206081848,3,  RRab,0.9750770000000001
206084435,3,    EA,0.980234
206085353,3, DSCUT,0.915949
206091799,3,    EB,0.9260709999999999
206105536,3,  RRab,0.625926
206109641,3,    EA,0.770269
206123963,3,  RRab,0.640003
206126731,3,  RRab,0.69596
206131351,3,  RRab,0.643331
206135075,3,    EA,0.8021119999999999
206139574,3,    EB,0.970073
206143954,3,  RRab,0.937315
206143957,3,    EA,0.935745
206144794,3,  RRab,0.8739889999999999
206145148,3, DSCUT,0.98364
206149993,3,  RRab,0.948399
206154246,3,OTHPER,0.9924940000000001
206161767,3,    EB,0.900982
206166251,3,  RRab,0.623682
206169907,3,  RRab,0.656472
206172684,3,    EB,0.99111
206173295,3,  GDOR,0.81087
206175324,3,  RRab,0.729086
206185368,3,  RRab,0.8354969999999999
206186422,3,  RRab,0.857309
206187484,3,    EA,0.71916
206189858,3, DSCUT,0.9430209999999999
206192022,3,OTHPER,0.990823
206199823,3,  RRab,0.6681600000000001
206202136,3,    EB,0.94425
206205407,3, DSCUT,0.9760049999999999
206211844,3,  RRab,0.609245
206212261,3,    EA,0.9903379999999999
206216934,3,    EB,0.9621120000000001
206218768,3,  RRab,0.617
206218857,3,  RRab,0.704872
206226502,3, DSCUT,0.957808
206241558,3,    EA,0.998184
206242361,3,  RRab,0.640545
206249670,3,  RRab,0.805197
206253908,3,    EA,0.815593
206256886,3,    EA,0.765914
206260577,3,  GDOR,0.855028
206260730,3,    EB,0.979409
206268154,3,    EB,0.987708
206278551,3,  RRab,0.744038
206278951,3,  RRab,0.806545
206280713,3,  RRab,0.8733299999999999
206281401,3, DSCUT,0.9797969999999999
206288770,3,    EA,0.999492
206288771,3,  RRab,0.6681050000000001
206289014,3, DSCUT,0.9057069999999999
206300006,3,  RRab,0.9228729999999999
206308660,3,    EB,0.9974770000000001
206314169,3,  GDOR,0.948117
206321136,3,  GDOR,0.7577699999999999
206322829,3, DSCUT,0.9967280000000001
206325176,3, DSCUT,0.9963290000000001
206331021,3, DSCUT,0.969577
206333750,3,  RRab,0.9404790000000001
206348448,3,  RRab,0.945751
206352638,3,  GDOR,0.664606
206353974,3,  GDOR,0.9452799999999999
206356447,3,  GDOR,0.670437
206366683,3,    EA,0.784171
206378945,3,    EB,0.981138
206382584,3,  GDOR,0.779854
206382857,3,  GDOR,0.7707109999999999
206386591,3,  RRab,0.884159
206397568,3,  RRab,0.630833
206398985,3,  RRab,0.696954
206409426,3,  RRab,0.8351879999999999
206412289,3,    EA,0.703666
206416069,3,    EB,0.914537
206424731,3, DSCUT,0.997561
206425155,3,  RRab,0.817294
206433263,3,    EA,0.888099
206449008,3, DSCUT,0.9688629999999999
206478801,3,  RRab,0.609961
206482854,3,    EB,0.9486110000000001
206489474,3,    EA,0.956672
206492383,3,    EB,0.9991260000000001
206496528,3,  RRab,0.9097430000000001
206511754,3,    EB,0.9962700000000001
206512511,3,  RRab,0.956786
206546449,3,  RRab,0.879338
210311535,4,  RRab,0.72055
210322126,4,  RRab,0.714407
210343581,4,  RRab,0.976407
210344532,4,  GDOR,0.843742
210352799,4,  GDOR,0.899057
210370729,4,    EB,0.996849
210375290,4,    EA,0.962468
210378102,4,  GDOR,0.712542
210380478,4,  GDOR,0.740388
210384744,4, DSCUT,0.969874
210386880,4,    EA,0.912868
210386883,4,    EA,0.912868
210388603,4,  GDOR,0.677113
210389383,4,    EA,0.810441
210390215,4, DSCUT,0.98472
210390571,4, DSCUT,0.93295
210391114,4,    EA,0.8865559999999999
210391723,4,OTHPER,0.990873
210396766,4, DSCUT,0.8950940000000001
210398323,4,  GDOR,0.9383870000000001
210399040,4,  RRab,0.701383
210403086,4,    EB,0.9704
210404228,4,    EB,0.9673719999999999
210405012,4, DSCUT,0.946889
210408934,4,  GDOR,0.958482
210413734,4,  GDOR,0.903933
210418120,4,  GDOR,0.795426
210421654,4,OTHPER,0.994157
210423938,4,OTHPER,0.9929290000000001
210424124,4,  GDOR,0.937908
210426551,4,    EB,0.9804299999999999
210433146,4,    EB,0.993808
210437575,4, DSCUT,0.9900040000000001
210437941,4,    EB,0.984419
210440131,4,OTHPER,0.9912690000000001
210454384,4,  RRab,0.713
210457607,4,  RRab,0.705457
210459068,4,  GDOR,0.788706
210460860,4,  GDOR,0.9229700000000001
210467408,4,    EB,0.949285
210470747,4,    EA,0.997776
210471429,4,  RRab,0.8393579999999999
210475866,4,  RRab,0.725012
210480153,4,OTHPER,0.990325
210480960,4,  GDOR,0.9493
210485552,4,OTHPER,0.991025
210487662,4, DSCUT,0.949317
210489231,4,    EB,0.970614
210491056,4,  GDOR,0.780225
210491773,4, DSCUT,0.9610549999999999
210492247,4, DSCUT,0.951952
210493551,4,    EB,0.9128879999999999
210494404,4,  GDOR,0.932005
210498388,4, DSCUT,0.9565549999999999
210507908,4,  RRab,0.627506
210509604,4,  RRab,0.7198979999999999
210511418,4,  RRab,0.9689459999999999
210511761,4,OTHPER,0.991899
210512162,4,    EA,0.999634
210512546,4,  GDOR,0.742851
210516060,4,  GDOR,0.7284689999999999
210517217,4, DSCUT,0.9541780000000001
210529209,4, DSCUT,0.9650690000000001
210530173,4,    EA,0.935809
210530626,4, DSCUT,0.987233
210538996,4,    EB,0.932679
210545189,4,OTHPER,0.9909950000000001
210551854,4,OTHPER,0.993677
210553798,4,  GDOR,0.9290719999999999
210568531,4, DSCUT,0.952427
210574135,4,    EB,0.9904649999999999
210574742,4,OTHPER,0.9928450000000001
210577198,4, DSCUT,0.941549
210577546,4,    EB,0.9265610000000001
210581202,4,    EA,0.994043
210596089,4, DSCUT,0.9890770000000001
210596591,4,  GDOR,0.779961
210598340,4,    EA,0.867609
210598493,4,OTHPER,0.991476
210615776,4,  GDOR,0.6677390000000001
210639353,4, DSCUT,0.9317280000000001
210649999,4, DSCUT,0.9649770000000001
210650657,4,    EB,0.940126
210651217,4, DSCUT,0.9866860000000001
210654881,4,    EA,0.997175
210656700,4, DSCUT,0.9215270000000001
210658751,4, DSCUT,0.971016
210662654,4,  RRab,0.70389
210663545,4,    EB,0.900584
210664740,4,    EB,0.9671639999999999
210665016,4,  RRab,0.624279
210668314,4,    EA,0.9586610000000001
210672179,4, DSCUT,0.9687959999999999
210692381,4, DSCUT,0.984355
210692406,4,    EB,0.986196
210696614,4,    EB,0.956522
210697335,4, DSCUT,0.957249
210711034,4, DSCUT,0.987914
210717694,4, DSCUT,0.94535
210729012,4,OTHPER,0.9931409999999999
210729707,4,  RRab,0.940141
210734262,4,    EA,0.894367
210734337,4,    EA,0.99113
210734643,4,    EB,0.932261
210737134,4,  GDOR,0.973002
210739713,4,    EB,0.996453
210740200,4,    EA,0.9946379999999999
210744182,4,    EB,0.9972489999999999
210747473,4, DSCUT,0.959943
210748304,4,  GDOR,0.672846
210754711,4,  RRab,0.730719
210754756,4,  GDOR,0.9137120000000001
210755081,4,OTHPER,0.992984
210755194,4,  RRab,0.66409
210757799,4,    EB,0.997554
210760314,4,    EA,0.883266
210760764,4,OTHPER,0.9901399999999999
210765827,4, DSCUT,0.934207
210766395,4, DSCUT,0.9391950000000001
210769793,4, DSCUT,0.979503
210779666,4,  GDOR,0.6853819999999999
210779706,4,    EA,0.975015
210781850,4,  GDOR,0.6774140000000001
210784039,4,    EA,0.979549
210786891,4,    EB,0.944364
210793570,4,OTHPER,0.9942540000000001
210793743,4,    EA,0.749624
210794599,4, DSCUT,0.910891
210796097,4,    EB,0.9390729999999999
210806505,4, DSCUT,0.955059
210810957,4,    EB,0.967793
210814048,4, DSCUT,0.9529139999999999
210815465,4,  RRab,0.955832
210819122,4,  GDOR,0.729665
210822691,4,    EA,0.9989450000000001
210823406,4,    EA,0.820509
210829783,4, DSCUT,0.908573
210830646,4,  RRab,0.94409
210835735,4,    EB,0.9500379999999999
210839363,4,  RRab,0.89189
210845303,4, DSCUT,0.9653649999999999
210846736,4,    EA,0.982008
210849044,4, DSCUT,0.917766
210857465,4, DSCUT,0.960733
210857749,4,    EA,0.9471149999999999
210859099,4, DSCUT,0.99208
210863062,4,    EB,0.976138
210863421,4,  GDOR,0.8274030000000001
210865148,4,    EA,0.9943270000000001
210868876,4,  RRab,0.8565860000000001
210876158,4,    EB,0.997798
210893458,4,  GDOR,0.767197
210898824,4,  GDOR,0.8943780000000001
210912231,4,    EB,0.9733620000000001
210916718,4,OTHPER,0.9929959999999999
210916769,4,    EB,0.908442
210917200,4, DSCUT,0.9382379999999999
210919541,4,    EA,0.7659090000000001
210925176,4, DSCUT,0.988649
210925792,4,  RRab,0.761333
210928115,4,  GDOR,0.939823
210931116,4,  GDOR,0.963988
210935498,4,  GDOR,0.882511
210936710,4,  GDOR,0.703076
210936757,4,  GDOR,0.703076
210941737,4,    EA,0.776044
210945762,4, DSCUT,0.9500129999999999
210950113,4,  GDOR,0.821808
210951735,4, DSCUT,0.949521
210954046,4,  GDOR,0.8832450000000001
210954859,4,    EB,0.989087
210958990,4,    EA,0.891124
210960936,4,    EB,0.923165
210961385,4,    EA,0.98739
210969614,4,    EB,0.9162629999999999
210969800,4,  GDOR,0.7838189999999999
210974869,4, DSCUT,0.950275
210978380,4,  GDOR,0.7591859999999999
210986506,4, DSCUT,0.904192
210991500,4,    EB,0.987574
210992939,4, DSCUT,0.9391729999999999
210994439,4,  GDOR,0.964309
210994946,4,  RRab,0.721108
211000135,4,    EB,0.9817389999999999
211007062,4, DSCUT,0.900366
211011649,4,OTHPER,0.992196
211015722,4,    EA,0.996233
211016408,4, DSCUT,0.9724889999999999
211017994,4,    EB,0.9145190000000001
211020068,4,  GDOR,0.737632
211020446,4,    EB,0.999792
211022330,4, DSCUT,0.9615870000000001
211023010,4, DSCUT,0.8930739999999999
211027126,4,  GDOR,0.928607
211030550,4, DSCUT,0.938357
211033155,4,    EB,0.9487690000000001
211041532,4,    EA,0.783812
211042413,4, DSCUT,0.962251
211046240,4,  GDOR,0.7148
211056908,4, DSCUT,0.9733729999999999
211057183,4,  GDOR,0.8931379999999999
211061230,4,    EA,0.8491280000000001
211061816,4,  GDOR,0.899027
211063299,4,OTHPER,0.992924
211064526,4,OTHPER,0.99211
211064990,4,    EB,0.930801
211065427,4,  GDOR,0.6793100000000001
211069456,4,  GDOR,0.905027
211069629,4,  RRab,0.6255729999999999
211070599,4,  GDOR,0.761905
211071185,4,OTHPER,0.9921770000000001
211079486,4,  GDOR,0.9078129999999999
211082172,4,  GDOR,0.786728
211083574,4,    EA,0.833946
211083721,4, DSCUT,0.9816469999999999
211086147,4,OTHPER,0.994567
211091848,4,  GDOR,0.7044520000000001
211098990,4,  GDOR,0.9617760000000001
211101583,4,OTHPER,0.992771
211114864,4, DSCUT,0.969534
211115338,4, DSCUT,0.9314049999999999
211129400,4,  GDOR,0.700786
211132787,4,    EB,0.955361
211147178,4,    EA,0.995917
211154046,4,    EA,0.96241
211161825,4,  GDOR,0.7264970000000001
211173015,4, DSCUT,0.948808
211178965,4, DSCUT,0.9647190000000001
211179336,4,    EB,0.99492
