,epic_number,Campaign,DJA_Class,Probability,Class
126,201670373,1,OTHPER,0.994307,OTHPER
127,201671506,1,  GDOR,0.8280489999999999,  GDOR
128,201673708,1,OTHPER,0.993173,OTHPER
129,201674807,1, Noise,0.984044, Noise
130,201674814,1, Noise,0.983159, Noise
131,201676716,1, Noise,0.986528, Noise
132,201680569,1,    EB,0.967583,    EB
133,201681411,1,    EB,0.986243,    EB
134,201683910,1, Noise,0.985587, Noise
135,201686483,1,OTHPER,0.994418,OTHPER
136,201689490,1,OTHPER,0.991966,OTHPER
137,201691034,1, Noise,0.982147, Noise
138,201695625,1,    EB,0.91199,    EB
139,201698669,1,    EB,0.993093,    EB
140,201700240,1,OTHPER,0.99379,OTHPER
141,201700247,1,OTHPER,0.996481,OTHPER
142,201700978,1,OTHPER,0.994007,OTHPER
143,201704541,1,    EB,0.989999,    EB
144,201707257,1,OTHPER,0.997816,OTHPER
145,201709153,1, Noise,0.982957, Noise
146,201711578,1,OTHPER,0.992326,OTHPER
147,201715262,1,    EB,0.900547,    EB
148,201715393,1,  GDOR,0.749131,  GDOR
149,201716883,1,  RRab,0.944782,  RRab
150,201720674,1,OTHPER,0.992169,OTHPER
151,201720987,1, Noise,0.982213, Noise
152,201721222,1, Noise,0.984682, Noise
153,201723461,1,    EA,0.7306159999999999,    EA
154,201725399,1,    EB,0.990429,    EB
155,201725951,1, Noise,0.989083, Noise
156,201731218,1,OTHPER,0.992665,OTHPER
157,201735172,1, Noise,0.981196, Noise
158,201738572,1,OTHPER,0.994142,OTHPER
159,201738755,1,OTHPER,0.990714,OTHPER
160,201739972,1, DSCUT,0.958212, DSCUT
161,201748885,1, Noise,0.984361, Noise
162,201749821,1,    EB,0.998527,    EB
163,201751439,1, Noise,0.986128, Noise
164,201751532,1, Noise,0.984858, Noise
165,201753654,1, Noise,0.983714, Noise
166,201754974,1,OTHPER,0.992121,OTHPER
167,201762815,1,    EB,0.995939,    EB
168,201766747,1, Noise,0.983093, Noise
169,201768602,1, Noise,0.982866, Noise
170,201769424,1, Noise,0.981406, Noise
171,201774941,1, Noise,0.981886, Noise
172,201775723,1, Noise,0.981004, Noise
173,201780233,1,  RRab,0.716609,  RRab
174,201786731,1, Noise,0.986929, Noise
175,201789080,1,OTHPER,0.990724,OTHPER
176,201790080,1,    EB,0.997081,    EB
177,201802433,1, Noise,0.981658, Noise
178,201803365,1,    EB,0.967434,    EB
179,201809540,1,OTHPER,0.995873,OTHPER
180,201810513,1,    EA,0.935575,    EA
181,201814774,1,  GDOR,0.745607,  GDOR
182,201824843,1, Noise,0.98113, Noise
183,201826968,1,    EB,0.997466,    EB
184,201828402,1, Noise,0.981912, Noise
185,201832116,1,  GDOR,0.913095,  GDOR
186,201833284,1, Noise,0.981232, Noise
187,201839237,1, Noise,0.984328, Noise
188,201840254,1,OTHPER,0.996243,OTHPER
189,201850413,1, DSCUT,0.981465, DSCUT
190,201855304,1,OTHPER,0.992279,OTHPER
191,201870289,1,OTHPER,0.996384,OTHPER
192,201871270,1, Noise,0.98695, Noise
193,201871951,1,  GDOR,0.848618,  GDOR
194,201873161,1, Noise,0.985196, Noise
195,201882460,1, Noise,0.9827, Noise
196,201884852,1, Noise,0.983502, Noise
197,201890494,1,    EA,0.923384,    EA
198,201893576,1,    EA,0.714268,    EA
199,201896663,1,OTHPER,0.990853,OTHPER
200,201902310,1,OTHPER,0.990096,OTHPER
201,201903779,1,  GDOR,0.7372890000000001,  GDOR
202,201904174,1,    EB,0.913577,    EB
203,201907820,1, Noise,0.985037, Noise
204,201908974,1, Noise,0.98456, Noise
205,201910513,1,OTHPER,0.990492,OTHPER
206,201910662,1, Noise,0.982743, Noise
207,201914571,1, Noise,0.988747, Noise
208,201921381,1,    EB,0.983653,    EB
209,201926949,1,OTHPER,0.997439,OTHPER
210,201927024,1,    EB,0.923997,    EB
211,201927431,1, Noise,0.98348, Noise
212,201928270,1,    EB,0.90353,    EB
213,201933700,1, Noise,0.981517, Noise
214,201933752,1, Noise,0.986116, Noise
215,201937413,1, Noise,0.989357, Noise
216,201940505,1,    EB,0.988621,    EB
217,201940767,1,    EB,0.998529,    EB
218,202518676,2, DSCUT,0.982149, DSCUT
219,202554180,2, DSCUT,0.990963, DSCUT
220,202619356,2,OTHPER,0.990511,OTHPER
221,202643279,2,    EB,0.911619,    EB
222,202652559,2,  GDOR,0.697742,  GDOR
223,202656096,2, Noise,0.982264, Noise
224,202665304,2,OTHPER,0.990576,OTHPER
225,202674012,2,    EA,0.913231,    EA
226,202679718,2,    EB,0.9384,    EB
227,202683805,2,OTHPER,0.996007,OTHPER
228,202688980,2,    EA,0.7872520000000001,    EA
229,202773276,2, DSCUT,0.960321, DSCUT
230,202774129,2,    EB,0.938969,    EB
231,202843085,2,    EA,0.94648,    EA
232,202844711,2,    EA,0.987249,    EA
233,202851823,2,    EB,0.983295,    EB
234,202863081,2, DSCUT,0.954686, DSCUT
235,202872758,2,OTHPER,0.993287,OTHPER
236,202911789,2, DSCUT,0.969483, DSCUT
237,202929357,2, DSCUT,0.990444, DSCUT
238,202963882,2,    EB,0.931543,    EB
239,202968864,2,    EB,0.951079,    EB
240,202984824,2,OTHPER,0.992792,OTHPER
241,203011840,2,    EA,0.792912, Noise
242,203026255,2, DSCUT,0.931984, DSCUT
243,203031097,2,  GDOR,0.925913,  GDOR
244,203075848,2,  GDOR,0.688135,  GDOR
245,203127694,2,  GDOR,0.802671,  GDOR
246,203162555,2, DSCUT,0.948943, DSCUT
247,203185007,2,OTHPER,0.992631,OTHPER
248,203294831,2,    EA,0.938712,    EA
249,203361171,2,    EA,0.999881,    EA
250,203372915,2,  RRab,0.7796850000000001,  RRab
251,203396402,2,    EB,0.901315, Noise
252,203463506,2,    EB,0.997001,    EB
253,203466879,2,    EA,0.7439600000000001,    EA
254,203485624,2,    EB,0.989262,    EB
255,203486145,2,  GDOR,0.8510979999999999, Noise
256,203531786,2, DSCUT,0.891907, DSCUT
257,203534141,2, Noise,0.982327, Noise
258,203538499,2,OTHPER,0.991944,OTHPER
259,203542570,2,OTHPER,0.992749,OTHPER
260,203579600,2,  GDOR,0.904415,  GDOR
261,203593664,2,  GDOR,0.872841,  GDOR
262,203594870,2, Noise,0.981213, Noise
263,203596245,2,  RRab,0.978497,  RRab
264,203596258,2,  RRab,0.974756,  RRab
265,203606075,2,OTHPER,0.99178,OTHPER
266,203610780,2,    EA,0.934855,    EA
267,203630276,2,  RRab,0.730222,  RRab
268,203636784,2,    EA,0.916226,    EA
269,203637372,2,OTHPER,0.997261,OTHPER
270,203654939,2,OTHPER,0.990181,OTHPER
271,203656002,2,    EA,0.792024, Noise
272,203656237,2, DSCUT,0.981323, DSCUT
273,203692906,2,  RRab,0.708593,  RRab
274,203707855,2,  GDOR,0.85765,  GDOR
275,203710621,2, DSCUT,0.924444, DSCUT
276,203724283,2,    EA,0.708079, Noise
277,203728604,2,    EA,0.888892,    EA
278,203735292,2, Noise,0.982085, Noise
279,203735843,2, Noise,0.983781, Noise
280,203749720,2,    EB,0.987508,    EB
281,203764177,2,    EA,0.8737959999999999,    EA
282,203783195,2,    EA,0.937446, Noise
283,203819998,2,OTHPER,0.992792,OTHPER
284,203824391,2,OTHPER,0.990651,OTHPER
285,203829123,2,  GDOR,0.783407,  GDOR
286,203868608,2,    EA,0.833369,    EA
287,203878683,2,    EA,0.992566,    EA
288,203902287,2,OTHPER,0.990878,OTHPER
289,203907133,2, DSCUT,0.893193, DSCUT
290,203908645,2,    EA,0.822617, Noise
291,203911955,2,    EA,0.956625, Noise
292,203929178,2,    EA,0.970936,    EA
293,203942067,2,    EA,0.997095,    EA
294,203964886,2, Noise,0.98254, Noise
295,203976840,2, Noise,0.986509, Noise
296,204018323,2, Noise,0.984333, Noise
297,204019947,2, Noise,0.981093, Noise
298,204034714,2, Noise,0.98391, Noise
299,204059927,2,    EA,0.8324870000000001, Noise
300,204073447,2,    EA,0.992644,    EA
301,204090458,2, DSCUT,0.95744, Noise
302,204091956,2,  RRab,0.601612,  RRab
303,204105782,2,    EA,0.703855, Noise
304,204115101,2,  RRab,0.811253,  RRab
305,204138967,2,    EB,0.922392,    EB
306,204154300,2, DSCUT,0.907716, DSCUT
307,204171214,2,    EA,0.75017, Noise
308,204181806,2, DSCUT,0.980823, Noise
309,204183093,2,    EA,0.9175, Noise
310,204183656,2,    EA,0.8339139999999999, Noise
311,204185956,2,    EA,0.938837, Noise
312,204199860,2, DSCUT,0.929482, DSCUT
313,204212045,2,OTHPER,0.992346,OTHPER
314,204225046,2,    EB,0.935659,    EB
315,204230492,2, Noise,0.983125, Noise
316,204234138,2,    EA,0.7027909999999999, Noise
317,204236712,2,    EA,0.825982, Noise
318,204275121,2,    EB,0.974344,    EA
319,204299478,2,  GDOR,0.90368,  GDOR
320,204312847,2,    EA,0.97897,    EA
321,204320514,2,OTHPER,0.991632,OTHPER
322,204353555,2,    EB,0.959429,    EB
323,204376704,2, DSCUT,0.938141, DSCUT
324,204405530,2,OTHPER,0.991716,OTHPER
325,204470067,2,    EA,0.727722,    EA
326,204491082,2,OTHPER,0.990111,OTHPER
327,204494002,2,OTHPER,0.991051,OTHPER
328,204508330,2, Noise,0.987278, Noise
329,204556512,2,  GDOR,0.898408,  GDOR
330,204558226,2, DSCUT,0.94808, Noise
331,204558724,2,    EB,0.924029,    EB
332,204561424,2,    EB,0.968789,    EB
333,204561871,2,    EB,0.969129,    EB
334,204574155,2, DSCUT,0.940292, DSCUT
335,204576757,2,    EA,0.989592,    EA
336,204599418,2, Noise,0.982817, Noise
337,204600767,2, DSCUT,0.993473, DSCUT
338,204604359,2,  RRab,0.727238,  RRab
339,204629934,2,OTHPER,0.991779,OTHPER
340,204649811,2,    EA,0.714168,    EA
341,204666545,2, Noise,0.989277, Noise
342,204673472,2, DSCUT,0.910236, DSCUT
343,204676375,2, Noise,0.986168, Noise
344,204676803,2,    EA,0.935773,    EA
345,204748201,2,    EA,0.997102,    EA
346,204760247,2,    EA,0.719164,OTHPER
347,204771848,2,OTHPER,0.990166,OTHPER
348,204778376,2,  RRab,0.771544,  RRab
349,204780832,2,  RRab,0.669004,  RRab
350,204787022,2, Noise,0.983627, Noise
351,204807478,2,OTHPER,0.990174,OTHPER
352,204808234,2, Noise,0.983789, Noise
353,204815607,2,  RRab,0.66815,  RRab
354,204817435,2,  GDOR,0.745212,  GDOR
355,204819511,2,OTHPER,0.993285,OTHPER
356,204820375,2,OTHPER,0.993706,OTHPER
357,204876991,2,  RRab,0.688756,  RRab
358,204880394,2,  RRab,0.963592,  RRab
359,204894780,2,  RRab,0.627312,  RRab
360,204903894,2,  RRab,0.661624,  RRab
361,204904480,2,  RRab,0.646702,  RRab
362,204907195,2,    EB,0.997422,    EB
363,204924308,2, Noise,0.985243, Noise
364,204925198,2,OTHPER,0.99013,OTHPER
365,204930285,2, Noise,0.983002, Noise
366,204933419,2,  RRab,0.603196,  RRab
367,204938521,2,  GDOR,0.958563,  GDOR
368,204951319,2,    EA,0.783145, Noise
369,204959709,2,    EA,0.8591049999999999, Noise
370,204965815,2,  GDOR,0.77878,  GDOR
371,204966750,2,  GDOR,0.6854359999999999,  GDOR
372,204979833,2,  RRab,0.725539,  RRab
373,204994280,2,  RRab,0.6514,OTHPER
374,205007882,2,  RRab,0.703749,  RRab
375,205019541,2,    EA,0.718517, Noise
376,205020466,2,    EA,0.8626469999999999,    EA
377,205040035,2, DSCUT,0.956318, DSCUT
378,205042193,2,OTHPER,0.992229,OTHPER
379,205043428,2,  GDOR,0.70257,  GDOR
380,205050711,2,    EA,0.919051,    EA
381,205054021,2, DSCUT,0.968461, DSCUT
382,205057908,2,OTHPER,0.994175,OTHPER
383,205060983,2,    EB,0.952993,    EB
384,205062129,2,    EB,0.998749,    EB
385,205075874,2,  GDOR,0.959032, Noise
386,205084928,2,OTHPER,0.991006,OTHPER
387,205089975,2, DSCUT,0.990846, DSCUT
388,205112883,2,  GDOR,0.706979,  GDOR
389,205114328,2,  RRab,0.648088,  RRab
390,205123245,2,OTHPER,0.993322,OTHPER
391,205131464,2,    EB,0.991323,    EB
392,205136799,2, DSCUT,0.915948, DSCUT
393,205149790,2,    EB,0.989183,    EB
394,205152526,2,  RRab,0.823557,  RRab
395,205164324,2,  RRab,0.652452,  RRab
396,205168996,2, DSCUT,0.988333, DSCUT
397,205170167,2, DSCUT,0.914655, Noise
398,205170307,2,    EA,0.992091,    EA
399,205225132,2, DSCUT,0.992797, DSCUT
400,205225995,2, Noise,0.981667, Noise
401,205247045,2,  GDOR,0.817459,  GDOR
402,205275157,2,  GDOR,0.774338,  GDOR
403,205278742,2, DSCUT,0.957111, DSCUT
404,205363642,2,  GDOR,0.786483,  GDOR
405,205388726,2, DSCUT,0.895582, DSCUT
406,205405404,2,    EB,0.999543,    EB
407,205432585,2, DSCUT,0.930906, DSCUT
408,205463986,2,    EA,0.963051,    EA
409,205485891,2,    EA,0.702343,    EA
410,205495245,2,  RRab,0.99102,  RRab
411,205510377,2,  GDOR,0.760519,  GDOR
412,205527197,2,    EB,0.970525,    EB
413,205546169,2,    EA,0.951775,    EA
414,205550411,2, Noise,0.982594, Noise
415,205554809,2,    EA,0.977033,    EA
416,205557744,2,    EB,0.989754,    EB
417,205558024,2,  RRab,0.630272,  RRab
418,205565079,2, DSCUT,0.966152, DSCUT
419,205602688,2,OTHPER,0.991446,OTHPER
420,205613964,2,  RRab,0.740337,  RRab
421,205625849,2,  RRab,0.984614,  RRab
422,205670261,2, DSCUT,0.935804, DSCUT
423,205670640,2,  RRab,0.6565380000000001,  RRab
424,205676611,2,  RRab,0.645416,  RRab
425,205684710,2,  RRab,0.8406049999999999,  RRab
426,205694298,2,OTHPER,0.994952,OTHPER
427,205703649,2,    EA,0.987787,    EA
428,205717017,2, Noise,0.987245, Noise
429,205728169,2,    EB,0.968823,    EB
430,205889250,3, Noise,0.728601, Noise
431,205890696,3, Noise,0.6019399999999999, Noise
432,205892677,3, Noise,0.500346, Noise
433,205893603,3, Noise,0.5067, Noise
434,205893858,3, Noise,0.537652, Noise
435,205894358,3, Noise,0.522429, Noise
436,205894941,3, Noise,0.525162, Noise
437,205895090,3,OTHPER,0.519134,OTHPER
438,205896070,3, Noise,0.514239, Noise
439,205896226,3,OTHPER,0.5623520000000001,OTHPER
440,205896459,3,OTHPER,0.515781,OTHPER
441,205896499,3, Noise,0.6062069999999999, Noise
442,205896721,3, Noise,0.5127689999999999, Noise
443,205896873,3, Noise,0.539564, Noise
444,205897543,3, Noise,0.5680529999999999, Noise
445,205898872,3, Noise,0.539551, Noise
446,205898882,3, Noise,0.590567, Noise
447,205899208,3,OTHPER,0.551597,OTHPER
448,205899868,3, Noise,0.638648, Noise
449,205900901,3, Noise,0.525258, Noise
450,205901168,3,OTHPER,0.5718310000000001,OTHPER
451,205901212,3, Noise,0.514219, Noise
452,205901278,3, Noise,0.5675439999999999, Noise
453,205901354,3,OTHPER,0.734791,OTHPER
454,205901365,3,OTHPER,0.948667,OTHPER
455,205901524,3,OTHPER,0.894599,OTHPER
456,205901703,3,OTHPER,0.651644,OTHPER
457,205901944,3,OTHPER,0.559902,OTHPER
458,205902352,3,OTHPER,0.790342,OTHPER
459,205902563,3, Noise,0.503918, Noise
460,205902815,3,OTHPER,0.5041640000000001,OTHPER
461,205902984,3, Noise,0.601225, Noise
462,205903013,3, Noise,0.535679, Noise
463,205903167,3, Noise,0.576929, Noise
464,205903300,3, Noise,0.5079359999999999, Noise
465,205903477,3, Noise,0.5445220000000001, Noise
466,205903692,3,OTHPER,0.568423,OTHPER
467,205903713,3, Noise,0.553701, Noise
468,205904127,3, Noise,0.55335, Noise
469,205904260,3,OTHPER,0.5215569999999999,OTHPER
470,205904592,3, Noise,0.56272, Noise
471,205904628,3, Noise,0.744546, Noise
472,205904697,3, Noise,0.732781, Noise
473,205905204,3,OTHPER,0.513342,OTHPER
474,205905261,3, Noise,0.633419, Noise
475,205905303,3, Noise,0.637325, Noise
476,205905356,3, Noise,0.600136, Noise
477,205905563,3,OTHPER,0.503909,OTHPER
478,205905693,3,  RRab,0.840791,  RRab
479,205905922,3, Noise,0.643155, Noise
480,205906140,3, Noise,0.622292, Noise
481,205906244,3, Noise,0.578846, Noise
482,205906302,3,OTHPER,0.6027710000000001,OTHPER
483,205906310,3, Noise,0.625472, Noise
484,205906385,3,OTHPER,0.6018220000000001,OTHPER
485,205906390,3, Noise,0.639571, Noise
486,205906828,3, Noise,0.651487, Noise
487,205907443,3, Noise,0.5057229999999999, Noise
488,205907488,3,OTHPER,0.555891,OTHPER
489,205907593,3, Noise,0.550616, Noise
490,205907813,3, Noise,0.843033, Noise
491,205907951,3, Noise,0.670986, Noise
492,205908127,3, Noise,0.557851, Noise
493,205908167,3, Noise,0.5872569999999999, Noise
494,205908197,3,OTHPER,0.5586270000000001,OTHPER
495,205908353,3,OTHPER,0.574217,OTHPER
496,205908429,3, Noise,0.715553, Noise
497,205908463,3, Noise,0.628185, Noise
498,205908544,3, Noise,0.5612060000000001, Noise
499,205908577,3,OTHPER,0.727572,OTHPER
500,205908691,3,OTHPER,0.60954,OTHPER
501,205908750,3,OTHPER,0.877727,OTHPER
502,205908754,3, Noise,0.5753229999999999, Noise
503,205908778,3, Noise,0.5287569999999999, Noise
504,205908818,3,OTHPER,0.622253,OTHPER
505,205908988,3, Noise,0.50883, Noise
506,205909307,3, Noise,0.54177, Noise
507,205909334,3, Noise,0.550158, Noise
508,205909377,3, Noise,0.5026010000000001, Noise
509,205909389,3, Noise,0.5180859999999999, Noise
510,205909728,3, Noise,0.60612, Noise
511,205910324,3,    EB,0.860699,    EB
512,205910447,3,OTHPER,0.622351,OTHPER
513,205910609,3, Noise,0.513129, Noise
514,205910644,3,OTHPER,0.922118,OTHPER
515,205910796,3, Noise,0.654993, Noise
516,205910823,3, Noise,0.660279, Noise
517,205910913,3,OTHPER,0.666714,OTHPER
518,205910991,3,OTHPER,0.774691,OTHPER
519,205911100,3, Noise,0.6450640000000001, Noise
520,205911178,3, Noise,0.513843, Noise
521,205911488,3, Noise,0.592895, Noise
522,205911491,3, Noise,0.505256, Noise
523,205911536,3, Noise,0.610851, Noise
524,205911733,3, Noise,0.556607, Noise
525,205911734,3,OTHPER,0.8624719999999999,OTHPER
526,205911851,3, Noise,0.543089, Noise
527,205911872,3, Noise,0.520342, Noise
528,205911960,3,OTHPER,0.545579,OTHPER
529,205912027,3, Noise,0.651935, Noise
530,205912176,3,OTHPER,0.5495,OTHPER
531,205912229,3,OTHPER,0.59913,OTHPER
532,205912367,3, Noise,0.69881, Noise
533,205912560,3, Noise,0.5590579999999999, Noise
534,205912715,3, Noise,0.506574, Noise
535,205912731,3,OTHPER,0.567704,OTHPER
536,205912929,3,OTHPER,0.591865,OTHPER
537,205913285,3, Noise,0.5881390000000001, Noise
538,205913308,3,OTHPER,0.553137,OTHPER
539,205913366,3,OTHPER,0.521594,OTHPER
540,205913731,3, Noise,0.5321670000000001, Noise
541,205913826,3, Noise,0.552187, Noise
542,205913863,3, Noise,0.520258, Noise
543,205913955,3,OTHPER,0.520787,OTHPER
544,205913992,3, Noise,0.513604, Noise
545,205914001,3,OTHPER,0.576542,OTHPER
546,205914012,3,OTHPER,0.579043,OTHPER
547,205914320,3, Noise,0.5672149999999999, Noise
548,205914551,3, Noise,0.514282, Noise
549,205914589,3,OTHPER,0.687742,OTHPER
550,205914673,3, Noise,0.609725, Noise
551,205914715,3,OTHPER,0.7398020000000001,OTHPER
552,205914769,3,OTHPER,0.842053,OTHPER
553,205915088,3, Noise,0.638317, Noise
554,205915157,3, Noise,0.510962, Noise
555,205915237,3, Noise,0.554154, Noise
556,205915309,3, Noise,0.542641, Noise
557,205915365,3, Noise,0.640837, Noise
558,205915490,3, Noise,0.585182, Noise
559,205915513,3, Noise,0.5683189999999999, Noise
560,205915557,3,OTHPER,0.545639,OTHPER
561,205915657,3,  RRab,0.570602,  RRab
562,205915833,3, Noise,0.576494, Noise
563,205915902,3, Noise,0.502073, Noise
564,205916083,3, Noise,0.8354219999999999, Noise
565,205916098,3, Noise,0.6402939999999999, Noise
566,205916292,3,OTHPER,0.508423,OTHPER
567,205916453,3,OTHPER,0.66811,OTHPER
568,205916458,3, Noise,0.637677, Noise
569,205916496,3, Noise,0.665741, Noise
570,205916507,3, Noise,0.589272, Noise
571,205916760,3,OTHPER,0.539471,OTHPER
572,205916810,3,OTHPER,0.672191,OTHPER
573,205916940,3, Noise,0.6500600000000001, Noise
574,205917141,3,OTHPER,0.676365,OTHPER
575,205917153,3, Noise,0.646753, Noise
576,205917243,3, Noise,0.510494, Noise
577,205917263,3, Noise,0.522958, Noise
578,205917406,3,OTHPER,0.63464,OTHPER
579,205917435,3, Noise,0.5921350000000001, Noise
580,205917471,3, Noise,0.608809, Noise
581,205917475,3,OTHPER,0.555326,OTHPER
582,205917842,3, Noise,0.505757, Noise
583,205917896,3, Noise,0.599375, Noise
584,205917956,3, Noise,0.744164, Noise
585,205917986,3, Noise,0.510113, Noise
586,205918058,3, Noise,0.646988, Noise
587,205918335,3, Noise,0.65777, Noise
588,205918431,3,OTHPER,0.547083,OTHPER
589,205918432,3, Noise,0.5020140000000001, Noise
590,205918638,3, Noise,0.617755, Noise
591,205918843,3, Noise,0.555944, Noise
592,205918928,3, Noise,0.584542, Noise
593,205919074,3,OTHPER,0.756212,OTHPER
594,205919177,3, Noise,0.53773, Noise
595,205919478,3, Noise,0.518105, Noise
596,205919994,3,OTHPER,0.986151,OTHPER
597,205920209,3,OTHPER,0.596985,OTHPER
598,205920347,3, Noise,0.657626, Noise
599,205920350,3, Noise,0.515459, Noise
600,205920374,3,OTHPER,0.5141100000000001,OTHPER
601,205920431,3, Noise,0.518362, Noise
602,205920687,3, Noise,0.707703, Noise
603,205920793,3,OTHPER,0.500671,OTHPER
604,205920840,3,OTHPER,0.503124,OTHPER
605,205920873,3, Noise,0.7036020000000001, Noise
606,205920914,3, Noise,0.5448890000000001, Noise
607,205920995,3, Noise,0.5369970000000001, Noise
